Freq.	I(R4)/I(R8)
1.00000000000000e+00	(4.32969688748235e+00dB,-3.96239838432036e-01°)
1.00230523807790e+00	(4.32968628067801e+00dB,-3.95338485121265e-01°)
1.00461579027839e+00	(4.32967572246224e+00dB,-3.94439203039283e-01°)
1.00693166885180e+00	(4.32966521261314e+00dB,-3.93541987588515e-01°)
1.00925288607668e+00	(4.32965475090978e+00dB,-3.92646834181169e-01°)
1.01157945425990e+00	(4.32964433713227e+00dB,-3.91753738239234e-01°)
1.01391138573668e+00	(4.32963397106171e+00dB,-3.90862695194452e-01°)
1.01624869287070e+00	(4.32962365248019e+00dB,-3.89973700488311e-01°)
1.01859138805412e+00	(4.32961338117079e+00dB,-3.89086749572017e-01°)
1.02093948370768e+00	(4.32960315691757e+00dB,-3.88201837906491e-01°)
1.02329299228075e+00	(4.32959297950557e+00dB,-3.87318960962344e-01°)
1.02565192625141e+00	(4.32958284872082e+00dB,-3.86438114219863e-01°)
1.02801629812647e+00	(4.32957276435032e+00dB,-3.85559293168995e-01°)
1.03038612044162e+00	(4.32956272618201e+00dB,-3.84682493309327e-01°)
1.03276140576140e+00	(4.32955273400484e+00dB,-3.83807710150076e-01°)
1.03514216667934e+00	(4.32954278760867e+00dB,-3.82934939210070e-01°)
1.03752841581801e+00	(4.32953288678436e+00dB,-3.82064176017728e-01°)
1.03992016582906e+00	(4.32952303132367e+00dB,-3.81195416111049e-01°)
1.04231742939330e+00	(4.32951322101936e+00dB,-3.80328655037590e-01°)
1.04472021922080e+00	(4.32950345566509e+00dB,-3.79463888354458e-01°)
1.04712854805090e+00	(4.32949373505548e+00dB,-3.78601111628284e-01°)
1.04954242865232e+00	(4.32948405898607e+00dB,-3.77740320435218e-01°)
1.05196187382322e+00	(4.32947442725333e+00dB,-3.76881510360892e-01°)
1.05438689639126e+00	(4.32946483965468e+00dB,-3.76024677000435e-01°)
1.05681750921366e+00	(4.32945529598843e+00dB,-3.75169815958422e-01°)
1.05925372517729e+00	(4.32944579605381e+00dB,-3.74316922848888e-01°)
1.06169555719872e+00	(4.32943633965098e+00dB,-3.73465993295294e-01°)
1.06414301822431e+00	(4.32942692658099e+00dB,-3.72617022930515e-01°)
1.06659612123026e+00	(4.32941755664580e+00dB,-3.71770007396817e-01°)
1.06905487922266e+00	(4.32940822964829e+00dB,-3.70924942345862e-01°)
1.07151930523760e+00	(4.32939894539221e+00dB,-3.70081823438664e-01°)
1.07398941234124e+00	(4.32938970368221e+00dB,-3.69240646345590e-01°)
1.07646521362983e+00	(4.32938050432382e+00dB,-3.68401406746339e-01°)
1.07894672222983e+00	(4.32937134712348e+00dB,-3.67564100329929e-01°)
1.08143395129794e+00	(4.32936223188849e+00dB,-3.66728722794675e-01°)
1.08392691402120e+00	(4.32935315842702e+00dB,-3.65895269848176e-01°)
1.08642562361706e+00	(4.32934412654813e+00dB,-3.65063737207296e-01°)
1.08893009333343e+00	(4.32933513606173e+00dB,-3.64234120598151e-01°)
1.09144033644875e+00	(4.32932618677862e+00dB,-3.63406415756093e-01°)
1.09395636627209e+00	(4.32931727851044e+00dB,-3.62580618425695e-01°)
1.09647819614318e+00	(4.32930841106969e+00dB,-3.61756724360723e-01°)
1.09900583943252e+00	(4.32929958426973e+00dB,-3.60934729324134e-01°)
1.10153930954141e+00	(4.32929079792476e+00dB,-3.60114629088056e-01°)
1.10407861990207e+00	(4.32928205184982e+00dB,-3.59296419433771e-01°)
1.10662378397766e+00	(4.32927334586081e+00dB,-3.58480096151688e-01°)
1.10917481526240e+00	(4.32926467977446e+00dB,-3.57665655041349e-01°)
1.11173172728159e+00	(4.32925605340833e+00dB,-3.56853091911390e-01°)
1.11429453359173e+00	(4.32924746658081e+00dB,-3.56042402579545e-01°)
1.11686324778056e+00	(4.32923891911112e+00dB,-3.55233582872610e-01°)
1.11943788346715e+00	(4.32923041081930e+00dB,-3.54426628626449e-01°)
1.12201845430196e+00	(4.32922194152621e+00dB,-3.53621535685948e-01°)
