Freq.	V(p15v_pri)/V(inj)
1.00000000000000e+00	(7.01809120546767e+01dB,1.04656046438034e+02°)
1.00230523807790e+00	(7.01624372222240e+01dB,1.04628096300471e+02°)
1.00461579027839e+00	(7.01439588045897e+01dB,1.04600200898990e+02°)
1.00693166885180e+00	(7.01254768179945e+01dB,1.04572360107554e+02°)
1.00925288607668e+00	(7.01069912785625e+01dB,1.04544573800105e+02°)
1.01157945425990e+00	(7.00885022023208e+01dB,1.04516841850564e+02°)
1.01391138573668e+00	(7.00700096052002e+01dB,1.04489164132836e+02°)
1.01624869287070e+00	(7.00515135030345e+01dB,1.04461540520813e+02°)
1.01859138805412e+00	(7.00330139115617e+01dB,1.04433970888377e+02°)
1.02093948370768e+00	(7.00145108464234e+01dB,1.04406455109402e+02°)
1.02329299228075e+00	(6.99960043231652e+01dB,1.04378993057759e+02°)
1.02565192625141e+00	(6.99774943572368e+01dB,1.04351584607315e+02°)
1.02801629812647e+00	(6.99589809639924e+01dB,1.04324229631942e+02°)
1.03038612044162e+00	(6.99404641586905e+01dB,1.04296928005513e+02°)
1.03276140576140e+00	(6.99219439564942e+01dB,1.04269679601911e+02°)
1.03514216667934e+00	(6.99034203724716e+01dB,1.04242484295029e+02°)
1.03752841581801e+00	(6.98848934215956e+01dB,1.04215341958773e+02°)
1.03992016582906e+00	(6.98663631187442e+01dB,1.04188252467065e+02°)
1.04231742939330e+00	(6.98478294787008e+01dB,1.04161215693847e+02°)
1.04472021922080e+00	(6.98292925161543e+01dB,1.04134231513082e+02°)
1.04712854805090e+00	(6.98107522456991e+01dB,1.04107299798760e+02°)
1.04954242865232e+00	(6.97922086818358e+01dB,1.04080420424896e+02°)
1.05196187382322e+00	(6.97736618389705e+01dB,1.04053593265539e+02°)
1.05438689639126e+00	(6.97551117314159e+01dB,1.04026818194770e+02°)
1.05681750921366e+00	(6.97365583733908e+01dB,1.04000095086706e+02°)
1.05925372517729e+00	(6.97180017790208e+01dB,1.03973423815506e+02°)
1.06169555719872e+00	(6.96994419623381e+01dB,1.03946804255368e+02°)
1.06414301822431e+00	(6.96808789372820e+01dB,1.03920236280537e+02°)
1.06659612123026e+00	(6.96623127176987e+01dB,1.03893719765307e+02°)
1.06905487922266e+00	(6.96437433173418e+01dB,1.03867254584022e+02°)
1.07151930523760e+00	(6.96251707498726e+01dB,1.03840840611078e+02°)
1.07398941234124e+00	(6.96065950288600e+01dB,1.03814477720930e+02°)
1.07646521362983e+00	(6.95880161677808e+01dB,1.03788165788091e+02°)
1.07894672222983e+00	(6.95694341800198e+01dB,1.03761904687137e+02°)
1.08143395129794e+00	(6.95508490788705e+01dB,1.03735694292709e+02°)
1.08392691402120e+00	(6.95322608775345e+01dB,1.03709534479514e+02°)
1.08642562361706e+00	(6.95136695891225e+01dB,1.03683425122331e+02°)
