Freq.	V(OUT)/V(COMP)
1.00000000000000e+00	(2.44105300708018e+01dB,-1.08177673882486e+01°)
1.00230523807790e+00	(2.44098238389758e+01dB,-1.08421143213138e+01°)
1.00461579027839e+00	(2.44091144629544e+01dB,-1.08665134025725e+01°)
1.00693166885180e+00	(2.44084019292576e+01dB,-1.08909647259789e+01°)
1.00925288607668e+00	(2.44076862243486e+01dB,-1.09154683855322e+01°)
1.01157945425990e+00	(2.44069673346431e+01dB,-1.09400244752867e+01°)
1.01391138573668e+00	(2.44062452464971e+01dB,-1.09646330893364e+01°)
1.01624869287070e+00	(2.44055199462185e+01dB,-1.09892943218287e+01°)
1.01859138805412e+00	(2.44047914200556e+01dB,-1.10140082669490e+01°)
1.02093948370768e+00	(2.44040596542063e+01dB,-1.10387750189322e+01°)
1.02329299228075e+00	(2.44033246348144e+01dB,-1.10635946720567e+01°)
1.02565192625141e+00	(2.44025863479677e+01dB,-1.10884673206414e+01°)
1.02801629812647e+00	(2.44018447797002e+01dB,-1.11133930590481e+01°)
1.03038612044162e+00	(2.44010999159904e+01dB,-1.11383719816779e+01°)
1.03276140576140e+00	(2.44003517427642e+01dB,-1.11634041829754e+01°)
1.03514216667934e+00	(2.43996002458913e+01dB,-1.11884897574219e+01°)
1.03752841581801e+00	(2.43988454111835e+01dB,-1.12136287995335e+01°)
1.03992016582906e+00	(2.43980872244009e+01dB,-1.12388214038678e+01°)
1.04231742939330e+00	(2.43973256712472e+01dB,-1.12640676650171e+01°)
1.04472021922080e+00	(2.43965607373686e+01dB,-1.12893676776067e+01°)
1.04712854805090e+00	(2.43957924083564e+01dB,-1.13147215362967e+01°)
1.04954242865232e+00	(2.43950206697483e+01dB,-1.13401293357835e+01°)
1.05196187382322e+00	(2.43942455070214e+01dB,-1.13655911707897e+01°)
1.05438689639126e+00	(2.43934669055990e+01dB,-1.13911071360723e+01°)
1.05681750921366e+00	(2.43926848508461e+01dB,-1.14166773264154e+01°)
1.05925372517729e+00	(2.43918993280754e+01dB,-1.14423018366382e+01°)
1.06169555719872e+00	(2.43911103225357e+01dB,-1.14679807615781e+01°)
1.06414301822431e+00	(2.43903178194249e+01dB,-1.14937141961077e+01°)
1.06659612123026e+00	(2.43895218038788e+01dB,-1.15195022351184e+01°)
1.06905487922266e+00	(2.43887222609797e+01dB,-1.15453449735317e+01°)
1.07151930523760e+00	(2.43879191757509e+01dB,-1.15712425062902e+01°)
1.07398941234124e+00	(2.43871125331568e+01dB,-1.15971949283576e+01°)
1.07646521362983e+00	(2.43863023181066e+01dB,-1.16232023347229e+01°)
1.07894672222983e+00	(2.43854885154450e+01dB,-1.16492648203859e+01°)
1.08143395129794e+00	(2.43846711099673e+01dB,-1.16753824803779e+01°)
1.08392691402120e+00	(2.43838500864037e+01dB,-1.17015554097392e+01°)
1.08642562361706e+00	(2.43830254294286e+01dB,-1.17277837035301e+01°)
1.08893009333343e+00	(2.43821971236565e+01dB,-1.17540674568256e+01°)
1.09144033644875e+00	(2.43813651536446e+01dB,-1.17804067647172e+01°)
1.09395636627209e+00	(2.43805295038886e+01dB,-1.18068017223065e+01°)
1.09647819614318e+00	(2.43796901588246e+01dB,-1.18332524247067e+01°)
1.09900583943252e+00	(2.43788471028317e+01dB,-1.18597589670456e+01°)
1.10153930954141e+00	(2.43780003202309e+01dB,-1.18863214444626e+01°)
1.10407861990207e+00	(2.43771497952755e+01dB,-1.19129399520953e+01°)
1.10662378397766e+00	(2.43762955121679e+01dB,-1.19396145851007e+01°)
1.10917481526240e+00	(2.43754374550453e+01dB,-1.19663454386355e+01°)
1.11173172728159e+00	(2.43745756079839e+01dB,-1.19931326078599e+01°)
1.11429453359173e+00	(2.43737099550039e+01dB,-1.20199761879443e+01°)
1.11686324778056e+00	(2.43728404800579e+01dB,-1.20468762740520e+01°)
1.11943788346715e+00	(2.43719671670453e+01dB,-1.20738329613582e+01°)
1.12201845430196e+00	(2.43710899998005e+01dB,-1.21008463450324e+01°)
1.12460497396692e+00	(2.43702089620959e+01dB,-1.21279165202419e+01°)
1.12719745617551e+00	(2.43693240376428e+01dB,-1.21550435821511e+01°)
1.12979591467279e+00	(2.43684352100924e+01dB,-1.21822276259234e+01°)
1.13240036323555e+00	(2.43675424630345e+01dB,-1.22094687467171e+01°)
1.13501081567231e+00	(2.43666457799956e+01dB,-1.22367670396819e+01°)
1.13762728582343e+00	(2.43657451444403e+01dB,-1.22641225999601e+01°)
1.14024978756117e+00	(2.43648405397701e+01dB,-1.22915355226837e+01°)
1.14287833478977e+00	(2.43639319493261e+01dB,-1.23190059029769e+01°)
1.14551294144553e+00	(2.43630193563873e+01dB,-1.23465338359529e+01°)
1.14815362149688e+00	(2.43621027441674e+01dB,-1.23741194167083e+01°)
1.15080038894443e+00	(2.43611820958164e+01dB,-1.24017627403237e+01°)
1.15345325782109e+00	(2.43602573944264e+01dB,-1.24294639018715e+01°)
1.15611224219209e+00	(2.43593286230218e+01dB,-1.24572229964004e+01°)
1.15877735615512e+00	(2.43583957645636e+01dB,-1.24850401189404e+01°)
1.16144861384034e+00	(2.43574588019515e+01dB,-1.25129153645052e+01°)
1.16412602941049e+00	(2.43565177180203e+01dB,-1.25408488280850e+01°)
1.16680961706096e+00	(2.43555724955408e+01dB,-1.25688406046470e+01°)
1.16949939101987e+00	(2.43546231172187e+01dB,-1.25968907891330e+01°)
1.17219536554813e+00	(2.43536695656992e+01dB,-1.26249994764644e+01°)
1.17489755493953e+00	(2.43527118235574e+01dB,-1.26531667615272e+01°)
1.17760597352080e+00	(2.43517498733089e+01dB,-1.26813927391861e+01°)
1.18032063565173e+00	(2.43507836973996e+01dB,-1.27096775042689e+01°)
1.18304155572516e+00	(2.43498132782158e+01dB,-1.27380211515792e+01°)
1.18576874816716e+00	(2.43488385980756e+01dB,-1.27664237758834e+01°)
1.18850222743701e+00	(2.43478596392296e+01dB,-1.27948854719100e+01°)
1.19124200802737e+00	(2.43468763838703e+01dB,-1.28234063343620e+01°)
1.19398810446427e+00	(2.43458888141170e+01dB,-1.28519864578943e+01°)
1.19674053130724e+00	(2.43448969120266e+01dB,-1.28806259371269e+01°)
1.19949930314937e+00	(2.43439006595897e+01dB,-1.29093248666394e+01°)
1.20226443461741e+00	(2.43429000387306e+01dB,-1.29380833409685e+01°)
1.20503594037179e+00	(2.43418950313075e+01dB,-1.29669014546077e+01°)
1.20781383510677e+00	(2.43408856191133e+01dB,-1.29957793020066e+01°)
1.21059813355048e+00	(2.43398717838702e+01dB,-1.30247169775623e+01°)
1.21338885046497e+00	(2.43388535072379e+01dB,-1.30537145756295e+01°)
