Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
1,18.687510629012927,-2.905038896958679,25.534731704835853,18.687510629012927,-2.905038896958679,-8.836105158151982
1.041118,18.39159562551305,-4.31814170425902,25.525430646181864,18.39159562551305,-4.31814170425902,-13.213086143571376
1.083927,18.62453369261091,-4.474179066115395,25.64537690058843,18.62453369261091,-4.474179066115395,-13.50821428555532
1.128496,19.263019459181887,-4.267291110318428,25.902550542198696,19.263019459181887,-4.267291110318428,-12.490877920583033
1.174898,17.38519467697671,-4.305101924119223,25.06205789099189,17.38519467697671,-4.305101924119223,-13.908388227406192
1.223207,17.726345069164573,-5.439083740219682,25.363146408224914,17.726345069164573,-5.439083740219682,-17.057907281339546
1.273503,17.601547611357404,-4.243991083964694,25.156433133609568,17.601547611357404,-4.243991083964694,-13.556104750817092
1.325867,17.425877428834337,-5.069190693999985,25.176680828833867,17.425877428834337,-5.069190693999985,-16.219722407251012
1.380384,16.77526951421375,-4.286118770700283,24.768033526613156,16.77526951421375,-4.286118770700283,-14.332567363324598
1.437143,17.562808994356295,-4.516121733903188,25.169946968227382,17.562808994356295,-4.516121733903188,-14.420683927345445
1.496236,17.32015725737658,-5.122900364902554,25.135264994619003,17.32015725737658,-5.122900364902554,-16.476993795020764
1.557758,17.675389131249247,-4.9329737527980315,25.273122613312296,17.675389131249247,-4.9329737527980315,-15.5937342456702
1.62181,17.203266618792068,-5.775777837739017,25.176075459547217,17.203266618792068,-5.775777837739017,-18.558821381812365
1.688496,16.971926631122333,-4.980432633896699,24.953375513760648,16.971926631122333,-4.980432633896699,-16.354390804790278
1.757924,17.369644496723065,-5.889015290626864,25.26836687491727,17.369644496723065,-5.889015290626864,-18.72874704559261
1.830206,16.177765020136327,-6.17136370689844,24.76840046398531,16.177765020136327,-6.17136370689844,-20.88045036616405
1.905461,16.558920316731875,-5.599515747529006,24.85085725816301,16.558920316731875,-5.599515747529006,-18.68332889343335
1.98381,15.926793570071993,-6.213186216341764,24.65778944229273,15.926793570071993,-6.213186216341764,-21.311206359074937
2.06538,16.38341146441833,-6.147897497836956,24.860233617539464,16.38341146441833,-6.147897497836956,-20.568670667860435
2.150305,15.689731523005856,-6.4337851695428725,24.587303882592728,15.689731523005856,-6.4337851695428725,-22.296740499742477
2.238721,15.992643238237882,-6.3772646672882916,24.719282229045994,15.992643238237882,-6.3772646672882916,-21.740254331360518
2.330773,16.033496138547473,-7.035127998255578,24.865240218707605,16.033496138547473,-7.035127998255578,-23.69075697502028
2.42661,16.042052179739976,-7.009228453931019,24.863974934061925,16.042052179739976,-7.009228453931019,-23.601883999236676
2.526388,15.017525351013564,-6.8303459395500585,24.348557204005125,15.017525351013564,-6.8303459395500585,-24.457227469535102
2.630268,15.106685750969085,-7.669252378587812,24.57926362618619,15.106685750969085,-7.669252378587812,-26.9156627112295
2.73842,14.780419296650162,-7.727741601325495,24.443240056792717,14.780419296650162,-7.727741601325495,-27.602207533893928
2.851018,14.168399884080412,-7.417027981045813,24.078255921509417,14.168399884080412,-7.417027981045813,-27.631646855643964
2.968247,14.117995051662264,-7.784038353559258,24.14821380736133,14.117995051662264,-7.784038353559258,-28.870399674921533
3.090295,13.670564407614693,-8.140863288407806,24.033916325039762,13.670564407614693,-8.140863288407806,-30.773928996301095
3.217363,13.547047322481152,-8.113293984558243,23.96805942141141,13.547047322481152,-8.113293984558243,-30.9172902105
3.349654,13.336009055841659,-8.394454940765497,23.95004723544584,13.336009055841659,-8.394454940765497,-32.188683265338476
3.487386,13.050549993087191,-8.683045019364235,23.904265895069546,13.050549993087191,-8.683045019364235,-33.63738724856897
3.630781,12.752789441384474,-8.737347743874945,23.783522597124936,12.752789441384474,-8.737347743874945,-34.41630174084913
3.780071,12.80887305886643,-8.6187050927298,23.77213892668538,12.80887305886643,-8.6187050927298,-33.935422803595515
3.935501,12.008984128951038,-8.802769690118227,23.457744181472844,12.008984128951038,-8.802769690118227,-36.24198821379833
4.097321,11.955218622892495,-8.796373964161425,23.4302129290637,11.955218622892495,-8.796373964161425,-36.34477692325933
4.265795,11.403312996890733,-8.786626990854991,23.16474340510405,11.403312996890733,-8.786626990854991,-37.61543168886201
