Freq.	V(OUT)/V(INJ)
1.00000000000000e+00	(1.07078280676707e+02dB,8.92377901233875e+01°)
1.00230523807790e+00	(1.07058500186383e+02dB,8.91510560687533e+01°)
1.00461579027839e+00	(1.07038701579383e+02dB,8.90643093302012e+01°)
1.00693166885180e+00	(1.07018884853666e+02dB,8.89775497646712e+01°)
1.00925288607668e+00	(1.06999050006996e+02dB,8.88907772289189e+01°)
1.01157945425990e+00	(1.06979197036948e+02dB,8.88039915795001e+01°)
1.01391138573668e+00	(1.06959325940900e+02dB,8.87171926727971e+01°)
1.01624869287070e+00	(1.06939436716042e+02dB,8.86303803650143e+01°)
1.01859138805412e+00	(1.06919529359364e+02dB,8.85435545121955e+01°)
1.02093948370768e+00	(1.06899603867669e+02dB,8.84567149702222e+01°)
1.02329299228075e+00	(1.06879660237562e+02dB,8.83698615948305e+01°)
1.02565192625141e+00	(1.06859698465456e+02dB,8.82829942416042e+01°)
1.02801629812647e+00	(1.06839718547568e+02dB,8.81961127660027e+01°)
1.03038612044162e+00	(1.06819720479920e+02dB,8.81092170233507e+01°)
1.03276140576140e+00	(1.06799704258342e+02dB,8.80223068688558e+01°)
1.03514216667934e+00	(1.06779669878466e+02dB,8.79353821576106e+01°)
1.03752841581801e+00	(1.06759617335727e+02dB,8.78484427446052e+01°)
1.03992016582906e+00	(1.06739546625370e+02dB,8.77614884847337e+01°)
1.04231742939330e+00	(1.06719457742439e+02dB,8.76745192327946e+01°)
1.04472021922080e+00	(1.06699350681784e+02dB,8.75875348435098e+01°)
1.04712854805090e+00	(1.06679225438056e+02dB,8.75005351715274e+01°)
1.04954242865232e+00	(1.06659082005716e+02dB,8.74135200714209e+01°)
1.05196187382322e+00	(1.06638920379020e+02dB,8.73264893977182e+01°)
1.05438689639126e+00	(1.06618740552033e+02dB,8.72394430048836e+01°)
1.05681750921366e+00	(1.06598542518617e+02dB,8.71523807473477e+01°)
1.05925372517729e+00	(1.06578326272445e+02dB,8.70653024794944e+01°)
1.06169555719872e+00	(1.06558091806983e+02dB,8.69782080556903e+01°)
1.06414301822431e+00	(1.06537839115507e+02dB,8.68910973302742e+01°)
1.06659612123026e+00	(1.06517568191088e+02dB,8.68039701575796e+01°)
1.06905487922266e+00	(1.06497279026606e+02dB,8.67168263919270e+01°)
1.07151930523760e+00	(1.06476971614737e+02dB,8.66296658876420e+01°)
1.07398941234124e+00	(1.06456645947962e+02dB,8.65424884990644e+01°)
1.07646521362983e+00	(1.06436302018562e+02dB,8.64552940805482e+01°)
1.07894672222983e+00	(1.06415939818616e+02dB,8.63680824864821e+01°)
1.08143395129794e+00	(1.06395559340011e+02dB,8.62808535712769e+01°)
1.08392691402120e+00	(1.06375160574429e+02dB,8.61936071893894e+01°)
1.08642562361706e+00	(1.06354743513355e+02dB,8.61063431953309e+01°)
1.08893009333343e+00	(1.06334308148075e+02dB,8.60190614436651e+01°)
1.09144033644875e+00	(1.06313854469674e+02dB,8.59317617890233e+01°)
1.09395636627209e+00	(1.06293382469038e+02dB,8.58444440861082e+01°)
1.09647819614318e+00	(1.06272892136853e+02dB,8.57571081897073e+01°)
1.09900583943252e+00	(1.06252383463605e+02dB,8.56697539546925e+01°)
1.10153930954141e+00	(1.06231856439584e+02dB,8.55823812360296e+01°)
1.10407861990207e+00	(1.06211311054871e+02dB,8.54949898887989e+01°)
1.10662378397766e+00	(1.06190747299355e+02dB,8.54075797681830e+01°)
1.10917481526240e+00	(1.06170165162723e+02dB,8.53201507294923e+01°)
1.11173172728159e+00	(1.06149564634456e+02dB,8.52327026281638e+01°)
1.11429453359173e+00	(1.06128945703844e+02dB,8.51452353197634e+01°)
