Freq.	V(COMP)/V(OPTO_OUT)
1.00000000000000e+00	(5.00582126710281e+01dB,9.34895683846700e+01°)
1.00230523807790e+00	(5.00382550723611e+01dB,9.34865203688862e+01°)
1.00461579027839e+00	(5.00182973447280e+01dB,9.34834907730449e+01°)
1.00693166885180e+00	(4.99983394890213e+01dB,9.34804795814563e+01°)
1.00925288607668e+00	(4.99783815061307e+01dB,9.34774867785251e+01°)
1.01157945425990e+00	(4.99584233969432e+01dB,9.34745123487506e+01°)
1.01391138573668e+00	(4.99384651623434e+01dB,9.34715562767261e+01°)
1.01624869287070e+00	(4.99185068032129e+01dB,9.34686185471396e+01°)
1.01859138805412e+00	(4.98985483204310e+01dB,9.34656991447731e+01°)
1.02093948370768e+00	(4.98785897148743e+01dB,9.34627980545029e+01°)
1.02329299228075e+00	(4.98586309874168e+01dB,9.34599152612993e+01°)
1.02565192625141e+00	(4.98386721389301e+01dB,9.34570507502268e+01°)
1.02801629812647e+00	(4.98187131702829e+01dB,9.34542045064437e+01°)
1.03038612044162e+00	(4.97987540823418e+01dB,9.34513765152024e+01°)
1.03276140576140e+00	(4.97787948759706e+01dB,9.34485667618491e+01°)
1.03514216667934e+00	(4.97588355520309e+01dB,9.34457752318236e+01°)
1.03752841581801e+00	(4.97388761113816e+01dB,9.34430019106598e+01°)
1.03992016582906e+00	(4.97189165548792e+01dB,9.34402467839851e+01°)
1.04231742939330e+00	(4.96989568833779e+01dB,9.34375098375205e+01°)
1.04472021922080e+00	(4.96789970977294e+01dB,9.34347910570805e+01°)
1.04712854805090e+00	(4.96590371987828e+01dB,9.34320904285732e+01°)
1.04954242865232e+00	(4.96390771873853e+01dB,9.34294079380002e+01°)
1.05196187382322e+00	(4.96191170643814e+01dB,9.34267435714564e+01°)
1.05438689639126e+00	(4.95991568306133e+01dB,9.34240973151298e+01°)
1.05681750921366e+00	(4.95791964869209e+01dB,9.34214691553022e+01°)
1.05925372517729e+00	(4.95592360341419e+01dB,9.34188590783480e+01°)
1.06169555719872e+00	(4.95392754731115e+01dB,9.34162670707352e+01°)
1.06414301822431e+00	(4.95193148046629e+01dB,9.34136931190245e+01°)
1.06659612123026e+00	(4.94993540296268e+01dB,9.34111372098702e+01°)
1.06905487922266e+00	(4.94793931488319e+01dB,9.34085993300189e+01°)
1.07151930523760e+00	(4.94594321631044e+01dB,9.34060794663106e+01°)
1.07398941234124e+00	(4.94394710732686e+01dB,9.34035776056780e+01°)
1.07646521362983e+00	(4.94195098801464e+01dB,9.34010937351465e+01°)
1.07894672222983e+00	(4.93995485845576e+01dB,9.33986278418346e+01°)
1.08143395129794e+00	(4.93795871873199e+01dB,9.33961799129531e+01°)
1.08392691402120e+00	(4.93596256892489e+01dB,9.33937499358056e+01°)
1.08642562361706e+00	(4.93396640911579e+01dB,9.33913378977884e+01°)
1.08893009333343e+00	(4.93197023938583e+01dB,9.33889437863901e+01°)
1.09144033644875e+00	(4.92997405981593e+01dB,9.33865675891921e+01°)
1.09395636627209e+00	(4.92797787048681e+01dB,9.33842092938680e+01°)
1.09647819614318e+00	(4.92598167147898e+01dB,9.33818688881837e+01°)
1.09900583943252e+00	(4.92398546287276e+01dB,9.33795463599977e+01°)
1.10153930954141e+00	(4.92198924474825e+01dB,9.33772416972606e+01°)
1.10407861990207e+00	(4.91999301718537e+01dB,9.33749548880152e+01°)
1.10662378397766e+00	(4.91799678026381e+01dB,9.33726859203967e+01°)
1.10917481526240e+00	(4.91600053406312e+01dB,9.33704347826320e+01°)
1.11173172728159e+00	(4.91400427866259e+01dB,9.33682014630406e+01°)
1.11429453359173e+00	(4.91200801414136e+01dB,9.33659859500334e+01°)
1.11686324778056e+00	(4.91001174057837e+01dB,9.33637882321139e+01°)
1.11943788346715e+00	(4.90801545805236e+01dB,9.33616082978772e+01°)
1.12201845430196e+00	(4.90601916664190e+01dB,9.33594461360102e+01°)
1.12460497396692e+00	(4.90402286642535e+01dB,9.33573017352917e+01°)
1.12719745617551e+00	(4.90202655748091e+01dB,9.33551750845925e+01°)
1.12979591467279e+00	(4.90003023988658e+01dB,9.33530661728748e+01°)
1.13240036323555e+00	(4.89803391372018e+01dB,9.33509749891927e+01°)
1.13501081567231e+00	(4.89603757905936e+01dB,9.33489015226917e+01°)
1.13762728582343e+00	(4.89404123598158e+01dB,9.33468457626093e+01°)
1.14024978756117e+00	(4.89204488456414e+01dB,9.33448076982741e+01°)
1.14287833478977e+00	(4.89004852488414e+01dB,9.33427873191064e+01°)
1.14551294144553e+00	(4.88805215701853e+01dB,9.33407846146181e+01°)
1.14815362149688e+00	(4.88605578104408e+01dB,9.33387995744122e+01°)
1.15080038894443e+00	(4.88405939703739e+01dB,9.33368321881832e+01°)
1.15345325782109e+00	(4.88206300507488e+01dB,9.33348824457170e+01°)
1.15611224219209e+00	(4.88006660523283e+01dB,9.33329503368906e+01°)
1.15877735615512e+00	(4.87807019758732e+01dB,9.33310358516725e+01°)
1.16144861384034e+00	(4.87607378221431e+01dB,9.33291389801221e+01°)
1.16412602941049e+00	(4.87407735918955e+01dB,9.33272597123900e+01°)
1.16680961706096e+00	(4.87208092858866e+01dB,9.33253980387182e+01°)
1.16949939101987e+00	(4.87008449048709e+01dB,9.33235539494392e+01°)
1.17219536554813e+00	(4.86808804496014e+01dB,9.33217274349771e+01°)
1.17489755493953e+00	(4.86609159208295e+01dB,9.33199184858466e+01°)
1.17760597352080e+00	(4.86409513193051e+01dB,9.33181270926535e+01°)
1.18032063565173e+00	(4.86209866457765e+01dB,9.33163532460944e+01°)
1.18304155572516e+00	(4.86010219009904e+01dB,9.33145969369568e+01°)
1.18576874816716e+00	(4.85810570856923e+01dB,9.33128581561191e+01°)
1.18850222743701e+00	(4.85610922006260e+01dB,9.33111368945504e+01°)
1.19124200802737e+00	(4.85411272465338e+01dB,9.33094331433104e+01°)
1.19398810446427e+00	(4.85211622241568e+01dB,9.33077468935498e+01°)
1.19674053130724e+00	(4.85011971342343e+01dB,9.33060781365097e+01°)
1.19949930314937e+00	(4.84812319775045e+01dB,9.33044268635219e+01°)
1.20226443461741e+00	(4.84612667547041e+01dB,9.33027930660089e+01°)
1.20503594037179e+00	(4.84413014665683e+01dB,9.33011767354836e+01°)
1.20781383510677e+00	(4.84213361138311e+01dB,9.32995778635494e+01°)
1.21059813355048e+00	(4.84013706972251e+01dB,9.32979964419003e+01°)
1.21338885046497e+00	(4.83814052174814e+01dB,9.32964324623207e+01°)
1.21618600064636e+00	(4.83614396753301e+01dB,9.32948859166853e+01°)
1.21898959892486e+00	(4.83414740714996e+01dB,9.32933567969593e+01°)
1.22179966016487e+00	(4.83215084067172e+01dB,9.32918450951982e+01°)
1.22461619926504e+00	(4.83015426817091e+01dB,9.32903508035478e+01°)
1.22743923115840e+00	(4.82815768971999e+01dB,9.32888739142441e+01°)
1.23026877081238e+00	(4.82616110539131e+01dB,9.32874144196133e+01°)
1.23310483322890e+00	(4.82416451525711e+01dB,9.32859723120720e+01°)
1.23594743344450e+00	(4.82216791938948e+01dB,9.32845475841269e+01°)
1.23879658653036e+00	(4.82017131786042e+01dB,9.32831402283746e+01°)
1.24165230759240e+00	(4.81817471074178e+01dB,9.32817502375021e+01°)
1.24451461177138e+00	(4.81617809810533e+01dB,9.32803776042862e+01°)
1.24738351424294e+00	(4.81418148002268e+01dB,9.32790223215941e+01°)
1.25025903021771e+00	(4.81218485656536e+01dB,9.32776843823826e+01°)
1.25314117494141e+00	(4.81018822780478e+01dB,9.32763637796988e+01°)
1.25602996369487e+00	(4.80819159381222e+01dB,9.32750605066795e+01°)
1.25892541179416e+00	(4.80619495465888e+01dB,9.32737745565516e+01°)
1.26182753459066e+00	(4.80419831041583e+01dB,9.32725059226318e+01°)
1.26473634747114e+00	(4.80220166115404e+01dB,9.32712545983266e+01°)
1.26765186585784e+00	(4.80020500694438e+01dB,9.32700205771325e+01°)
1.27057410520853e+00	(4.79820834785759e+01dB,9.32688038526357e+01°)
1.27350308101665e+00	(4.79621168396435e+01dB,9.32676044185121e+01°)
1.27643880881134e+00	(4.79421501533521e+01dB,9.32664222685275e+01°)
1.27938130415752e+00	(4.79221834204062e+01dB,9.32652573965373e+01°)
1.28233058265601e+00	(4.79022166415095e+01dB,9.32641097964866e+01°)
1.28528665994361e+00	(4.78822498173646e+01dB,9.32629794624102e+01°)
1.28824955169313e+00	(4.78622829486731e+01dB,9.32618663884326e+01°)
1.29121927361353e+00	(4.78423160361359e+01dB,9.32607705687677e+01°)
1.29419584144998e+00	(4.78223490804527e+01dB,9.32596919977193e+01°)
1.29717927098395e+00	(4.78023820823224e+01dB,9.32586306696805e+01°)
1.30016957803328e+00	(4.77824150424431e+01dB,9.32575865791341e+01°)
1.30316677845229e+00	(4.77624479615120e+01dB,9.32565597206523e+01°)
1.30617088813183e+00	(4.77424808402253e+01dB,9.32555500888969e+01°)
1.30918192299940e+00	(4.77225136792784e+01dB,9.32545576786190e+01°)
1.31219989901919e+00	(4.77025464793660e+01dB,9.32535824846593e+01°)
1.31522483219223e+00	(4.76825792411818e+01dB,9.32526245019480e+01°)
1.31825673855640e+00	(4.76626119654189e+01dB,9.32516837255044e+01°)
1.32129563418657e+00	(4.76426446527695e+01dB,9.32507601504374e+01°)
1.32434153519466e+00	(4.76226773039249e+01dB,9.32498537719453e+01°)
1.32739445772973e+00	(4.76027099195758e+01dB,9.32489645853156e+01°)
1.33045441797808e+00	(4.75827425004122e+01dB,9.32480925859252e+01°)
1.33352143216332e+00	(4.75627750471232e+01dB,9.32472377692402e+01°)
1.33659551654643e+00	(4.75428075603973e+01dB,9.32464001308160e+01°)
1.33967668742593e+00	(4.75228400409222e+01dB,9.32455796662975e+01°)
1.34276496113785e+00	(4.75028724893851e+01dB,9.32447763714184e+01°)
1.34586035405594e+00	(4.74829049064723e+01dB,9.32439902420019e+01°)
1.34896288259164e+00	(4.74629372928697e+01dB,9.32432212739605e+01°)
1.35207256319427e+00	(4.74429696492622e+01dB,9.32424694632955e+01°)
1.35518941235103e+00	(4.74230019763344e+01dB,9.32417348060978e+01°)
1.35831344658714e+00	(4.74030342747701e+01dB,9.32410172985472e+01°)
1.36144468246594e+00	(4.73830665452526e+01dB,9.32403169369126e+01°)
1.36458313658891e+00	(4.73630987884646e+01dB,9.32396337175521e+01°)
1.36772882559584e+00	(4.73431310050881e+01dB,9.32389676369130e+01°)
1.37088176616484e+00	(4.73231631958046e+01dB,9.32383186915314e+01°)
1.37404197501251e+00	(4.73031953612953e+01dB,9.32376868780329e+01°)
1.37720946889394e+00	(4.72832275022404e+01dB,9.32370721931316e+01°)
1.38038426460287e+00	(4.72632596193201e+01dB,9.32364746336312e+01°)
1.38356637897177e+00	(4.72432917132137e+01dB,9.32358941964239e+01°)
1.38675582887188e+00	(4.72233237846001e+01dB,9.32353308784915e+01°)
1.38995263121334e+00	(4.72033558341580e+01dB,9.32347846769041e+01°)
1.39315680294529e+00	(4.71833878625652e+01dB,9.32342555888214e+01°)
1.39636836105593e+00	(4.71634198704994e+01dB,9.32337436114918e+01°)
1.39958732257261e+00	(4.71434518586377e+01dB,9.32332487422527e+01°)
1.40281370456195e+00	(4.71234838276570e+01dB,9.32327709785304e+01°)
1.40604752412990e+00	(4.71035157782334e+01dB,9.32323103178401e+01°)
1.40928879842186e+00	(4.70835477110430e+01dB,9.32318667577861e+01°)
1.41253754462274e+00	(4.70635796267613e+01dB,9.32314402960616e+01°)
1.41579377995707e+00	(4.70436115260635e+01dB,9.32310309304484e+01°)
1.41905752168908e+00	(4.70236434096246e+01dB,9.32306386588177e+01°)
1.42232878712281e+00	(4.70036752781190e+01dB,9.32302634791291e+01°)
1.42560759360218e+00	(4.69837071322210e+01dB,9.32299053894314e+01°)
1.42889395851109e+00	(4.69637389726046e+01dB,9.32295643878622e+01°)
1.43218789927353e+00	(4.69437707999433e+01dB,9.32292404726478e+01°)
1.43548943335364e+00	(4.69238026149104e+01dB,9.32289336421035e+01°)
1.43879857825583e+00	(4.69038344181792e+01dB,9.32286438946335e+01°)
1.44211535152486e+00	(4.68838662104224e+01dB,9.32283712287307e+01°)
1.44543977074592e+00	(4.68638979923127e+01dB,9.32281156429770e+01°)
1.44877185354475e+00	(4.68439297645225e+01dB,9.32278771360429e+01°)
1.45211161758773e+00	(4.68239615277240e+01dB,9.32276557066879e+01°)
1.45545908058195e+00	(4.68039932825891e+01dB,9.32274513537603e+01°)
1.45881426027534e+00	(4.67840250297898e+01dB,9.32272640761971e+01°)
1.46217717445671e+00	(4.67640567699978e+01dB,9.32270938730243e+01°)
1.46554784095590e+00	(4.67440885038844e+01dB,9.32269407433564e+01°)
1.46892627764385e+00	(4.67241202321212e+01dB,9.32268046863971e+01°)
1.47231250243271e+00	(4.67041519553794e+01dB,9.32266857014384e+01°)
1.47570653327588e+00	(4.66841836743302e+01dB,9.32265837878616e+01°)
1.47910838816819e+00	(4.66642153896447e+01dB,9.32264989451364e+01°)
1.48251808514594e+00	(4.66442471019939e+01dB,9.32264311728216e+01°)
1.48593564228699e+00	(4.66242788120486e+01dB,9.32263804705645e+01°)
1.48936107771090e+00	(4.66043105204799e+01dB,9.32263468381013e+01°)
1.49279440957898e+00	(4.65843422279586e+01dB,9.32263302752571e+01°)
