Freq.	V(COMP)/V(OPTO_OUT)
1.00000000000000e+00	(5.00714475016974e+01dB,9.15874856568649e+01°)
1.00230523807790e+00	(5.00514561892293e+01dB,9.15888058720347e+01°)
1.00461579027839e+00	(5.00314649024114e+01dB,9.15901345048694e+01°)
1.00693166885180e+00	(5.00114736414266e+01dB,9.15914715624066e+01°)
1.00925288607668e+00	(4.99914824064633e+01dB,9.15928170516626e+01°)
1.01157945425990e+00	(4.99714911977022e+01dB,9.15941709797585e+01°)
1.01391138573668e+00	(4.99515000153330e+01dB,9.15955333538382e+01°)
1.01624869287070e+00	(4.99315088595426e+01dB,9.15969041810738e+01°)
1.01859138805412e+00	(4.99115177305180e+01dB,9.15982834687300e+01°)
1.02093948370768e+00	(4.98915266284465e+01dB,9.15996712240469e+01°)
1.02329299228075e+00	(4.98715355535168e+01dB,9.16010674543536e+01°)
1.02565192625141e+00	(4.98515445059184e+01dB,9.16024721670416e+01°)
1.02801629812647e+00	(4.98315534858413e+01dB,9.16038853694988e+01°)
1.03038612044162e+00	(4.98115624934742e+01dB,9.16053070691835e+01°)
1.03276140576140e+00	(4.97915715290087e+01dB,9.16067372735950e+01°)
1.03514216667934e+00	(4.97715805926381e+01dB,9.16081759902999e+01°)
1.03752841581801e+00	(4.97515896845510e+01dB,9.16096232268669e+01°)
1.03992016582906e+00	(4.97315988049426e+01dB,9.16110789909348e+01°)
1.04231742939330e+00	(4.97116079540069e+01dB,9.16125432901768e+01°)
1.04472021922080e+00	(4.96916171319330e+01dB,9.16140161323287e+01°)
1.04712854805090e+00	(4.96716263389202e+01dB,9.16154975251635e+01°)
1.04954242865232e+00	(4.96516355751628e+01dB,9.16169874764855e+01°)
1.05196187382322e+00	(4.96316448408544e+01dB,9.16184859941571e+01°)
1.05438689639126e+00	(4.96116541361933e+01dB,9.16199930860891e+01°)
1.05681750921366e+00	(4.95916634613744e+01dB,9.16215087602183e+01°)
1.05925372517729e+00	(4.95716728165978e+01dB,9.16230330245556e+01°)
1.06169555719872e+00	(4.95516822020610e+01dB,9.16245658871438e+01°)
1.06414301822431e+00	(4.95316916179598e+01dB,9.16261073560368e+01°)
1.06659612123026e+00	(4.95117010644987e+01dB,9.16276574394072e+01°)
1.06905487922266e+00	(4.94917105418736e+01dB,9.16292161454030e+01°)
1.07151930523760e+00	(4.94717200502868e+01dB,9.16307834822459e+01°)
1.07398941234124e+00	(4.94517295899403e+01dB,9.16323594582384e+01°)
1.07646521362983e+00	(4.94317391610349e+01dB,9.16339440816440e+01°)
1.07894672222983e+00	(4.94117487637749e+01dB,9.16355373608566e+01°)
1.08143395129794e+00	(4.93917583983628e+01dB,9.16371393042645e+01°)
1.08392691402120e+00	(4.93717680650031e+01dB,9.16387499203158e+01°)
1.08642562361706e+00	(4.93517777638995e+01dB,9.16403692175092e+01°)
1.08893009333343e+00	(4.93317874952601e+01dB,9.16419972043945e+01°)
1.09144033644875e+00	(4.93117972592882e+01dB,9.16436338895387e+01°)
1.09395636627209e+00	(4.92918070561926e+01dB,9.16452792815919e+01°)
1.09647819614318e+00	(4.92718168861792e+01dB,9.16469333892105e+01°)
1.09900583943252e+00	(4.92518267494563e+01dB,9.16485962211472e+01°)
1.10153930954141e+00	(4.92318366462341e+01dB,9.16502677861472e+01°)
1.10407861990207e+00	(4.92118465767227e+01dB,9.16519480930448e+01°)
1.10662378397766e+00	(4.91918565411316e+01dB,9.16536371506819e+01°)
1.10917481526240e+00	(4.91718665396698e+01dB,9.16553349679730e+01°)
1.11173172728159e+00	(4.91518765725511e+01dB,9.16570415538875e+01°)
1.11429453359173e+00	(4.91318866399896e+01dB,9.16587569173986e+01°)
1.11686324778056e+00	(4.91118967421971e+01dB,9.16604810675695e+01°)
1.11943788346715e+00	(4.90919068793864e+01dB,9.16622140134938e+01°)
1.12201845430196e+00	(4.90719170517734e+01dB,9.16639557643086e+01°)
1.12460497396692e+00	(4.90519272595742e+01dB,9.16657063291767e+01°)
1.12719745617551e+00	(4.90319375030021e+01dB,9.16674657173614e+01°)
1.12979591467279e+00	(4.90119477822778e+01dB,9.16692339381224e+01°)
1.13240036323555e+00	(4.89919580976177e+01dB,9.16710110007948e+01°)
1.13501081567231e+00	(4.89719684492387e+01dB,9.16727969147366e+01°)
1.13762728582343e+00	(4.89519788373609e+01dB,9.16745916893526e+01°)
1.14024978756117e+00	(4.89319892622068e+01dB,9.16763953341479e+01°)
1.14287833478977e+00	(4.89119997239947e+01dB,9.16782078585909e+01°)
1.14551294144553e+00	(4.88920102229464e+01dB,9.16800292722621e+01°)
1.14815362149688e+00	(4.88720207592846e+01dB,9.16818595847522e+01°)
1.15080038894443e+00	(4.88520313332331e+01dB,9.16836988057302e+01°)
1.15345325782109e+00	(4.88320419450151e+01dB,9.16855469448716e+01°)
1.15611224219209e+00	(4.88120525948555e+01dB,9.16874040119307e+01°)
1.15877735615512e+00	(4.87920632829787e+01dB,9.16892700166985e+01°)
1.16144861384034e+00	(4.87720740096133e+01dB,9.16911449690001e+01°)
1.16412602941049e+00	(4.87520847749859e+01dB,9.16930288787457e+01°)
1.16680961706096e+00	(4.87320955793226e+01dB,9.16949217558433e+01°)
1.16949939101987e+00	(4.87121064228549e+01dB,9.16968236102803e+01°)
1.17219536554813e+00	(4.86921173058105e+01dB,9.16987344520950e+01°)
1.17489755493953e+00	(4.86721282284218e+01dB,9.17006542913432e+01°)
1.17760597352080e+00	(4.86521391909179e+01dB,9.17025831381464e+01°)
1.18032063565173e+00	(4.86321501935326e+01dB,9.17045210026815e+01°)
1.18304155572516e+00	(4.86121612364979e+01dB,9.17064678951654e+01°)
1.18576874816716e+00	(4.85921723200477e+01dB,9.17084238258558e+01°)
1.18850222743701e+00	(4.85721834444186e+01dB,9.17103888050643e+01°)
1.19124200802737e+00	(4.85521946098436e+01dB,9.17123628431445e+01°)
1.19398810446427e+00	(4.85322058165612e+01dB,9.17143459505168e+01°)
1.19674053130724e+00	(4.85122170648072e+01dB,9.17163381376079e+01°)
1.19949930314937e+00	(4.84922283548210e+01dB,9.17183394149449e+01°)
1.20226443461741e+00	(4.84722396868414e+01dB,9.17203497930607e+01°)
1.20503594037179e+00	(4.84522510611074e+01dB,9.17223692825545e+01°)
1.20781383510677e+00	(4.84322624778616e+01dB,9.17243978940746e+01°)
1.21059813355048e+00	(4.84122739373444e+01dB,9.17264356383120e+01°)
1.21338885046497e+00	(4.83922854398002e+01dB,9.17284825260020e+01°)
1.21618600064636e+00	(4.83722969854696e+01dB,9.17305385679350e+01°)
1.21898959892486e+00	(4.83523085745986e+01dB,9.17326037749503e+01°)
1.22179966016487e+00	(4.83323202074333e+01dB,9.17346781579269e+01°)
1.22461619926504e+00	(4.83123318842208e+01dB,9.17367617278007e+01°)
1.22743923115840e+00	(4.82923436052072e+01dB,9.17388544955491e+01°)
1.23026877081238e+00	(4.82723553706392e+01dB,9.17409564722023e+01°)
1.23310483322890e+00	(4.82523671807682e+01dB,9.17430676688471e+01°)
1.23594743344450e+00	(4.82323790358431e+01dB,9.17451880965902e+01°)
1.23879658653036e+00	(4.82123909361162e+01dB,9.17473177666157e+01°)
1.24165230759240e+00	(4.81924028818377e+01dB,9.17494566901497e+01°)
1.24451461177138e+00	(4.81724148732635e+01dB,9.17516048784601e+01°)
1.24738351424294e+00	(4.81524269106432e+01dB,9.17537623428596e+01°)
1.25025903021771e+00	(4.81324389942342e+01dB,9.17559290947313e+01°)
1.25314117494141e+00	(4.81124511242926e+01dB,9.17581051454771e+01°)
1.25602996369487e+00	(4.80924633010762e+01dB,9.17602905065698e+01°)
1.25892541179416e+00	(4.80724755248405e+01dB,9.17624851895216e+01°)
1.26182753459066e+00	(4.80524877958459e+01dB,9.17646892059078e+01°)
1.26473634747114e+00	(4.80325001143504e+01dB,9.17669025673201e+01°)
1.26765186585784e+00	(4.80125124806168e+01dB,9.17691252854377e+01°)
1.27057410520853e+00	(4.79925248949077e+01dB,9.17713573719605e+01°)
1.27350308101665e+00	(4.79725373574833e+01dB,9.17735988386527e+01°)
1.27643880881134e+00	(4.79525498686081e+01dB,9.17758496973253e+01°)
1.27938130415752e+00	(4.79325624285482e+01dB,9.17781099598319e+01°)
1.28233058265601e+00	(4.79125750375684e+01dB,9.17803796380796e+01°)
1.28528665994361e+00	(4.78925876959366e+01dB,9.17826587440305e+01°)
1.28824955169313e+00	(4.78726004039213e+01dB,9.17849472896934e+01°)
1.29121927361353e+00	(4.78526131617897e+01dB,9.17872452871057e+01°)
1.29419584144998e+00	(4.78326259698127e+01dB,9.17895527483978e+01°)
1.29717927098395e+00	(4.78126388282614e+01dB,9.17918696857052e+01°)
1.30016957803328e+00	(4.77926517374094e+01dB,9.17941961112471e+01°)
1.30316677845229e+00	(4.77726646975286e+01dB,9.17965320372609e+01°)
1.30617088813183e+00	(4.77526777088944e+01dB,9.17988774760726e+01°)
1.30918192299940e+00	(4.77326907717796e+01dB,9.18012324400146e+01°)
1.31219989901919e+00	(4.77127038864647e+01dB,9.18035969415012e+01°)
1.31522483219223e+00	(4.76927170532246e+01dB,9.18059709929813e+01°)
1.31825673855640e+00	(4.76727302723389e+01dB,9.18083546069731e+01°)
1.32129563418657e+00	(4.76527435440871e+01dB,9.18107477960120e+01°)
1.32434153519466e+00	(4.76327568687515e+01dB,9.18131505727123e+01°)
1.32739445772973e+00	(4.76127702466129e+01dB,9.18155629497330e+01°)
1.33045441797808e+00	(4.75927836779551e+01dB,9.18179849397635e+01°)
1.33352143216332e+00	(4.75727971630608e+01dB,9.18204165555673e+01°)
1.33659551654643e+00	(4.75528107022177e+01dB,9.18228578099569e+01°)
1.33967668742593e+00	(4.75328242957112e+01dB,9.18253087157762e+01°)
