Freq.	V(out)/V(inj)
1.00000000000000e+00	(1.10458536764966e+02dB,4.09505737542290e+01°)
1.00230523807790e+00	(1.10424659088906e+02dB,4.08993206313407e+01°)
1.00461579027839e+00	(1.10390763075155e+02dB,4.08481662700237e+01°)
1.00693166885180e+00	(1.10356848764678e+02dB,4.07971109229394e+01°)
1.00925288607668e+00	(1.10322916198554e+02dB,4.07461548417203e+01°)
1.01157945425990e+00	(1.10288965417975e+02dB,4.06952982769718e+01°)
1.01391138573668e+00	(1.10254996464246e+02dB,4.06445414782855e+01°)
1.01624869287070e+00	(1.10221009378785e+02dB,4.05938846942211e+01°)
1.01859138805412e+00	(1.10187004203117e+02dB,4.05433281723149e+01°)
1.02093948370768e+00	(1.10152980978879e+02dB,4.04928721590676e+01°)
1.02329299228075e+00	(1.10118939747817e+02dB,4.04425168999632e+01°)
1.02565192625141e+00	(1.10084880551781e+02dB,4.03922626394478e+01°)
1.02801629812647e+00	(1.10050803432729e+02dB,4.03421096209327e+01°)
1.03038612044162e+00	(1.10016708432726e+02dB,4.02920580868041e+01°)
1.03276140576140e+00	(1.09982595593937e+02dB,4.02421082784089e+01°)
1.03514216667934e+00	(1.09948464958632e+02dB,4.01922604360593e+01°)
1.03752841581801e+00	(1.09914316569185e+02dB,4.01425147990371e+01°)
1.03992016582906e+00	(1.09880150468069e+02dB,4.00928716055807e+01°)
1.04231742939330e+00	(1.09845966697855e+02dB,4.00433310928970e+01°)
1.04472021922080e+00	(1.09811765301217e+02dB,3.99938934971441e+01°)
1.04712854805090e+00	(1.09777546320923e+02dB,3.99445590534577e+01°)
1.04954242865232e+00	(1.09743309799841e+02dB,3.98953279959153e+01°)
1.05196187382322e+00	(1.09709055780932e+02dB,3.98462005575699e+01°)
1.05438689639126e+00	(1.09674784307255e+02dB,3.97971769704226e+01°)
1.05681750921366e+00	(1.09640495421958e+02dB,3.97482574654398e+01°)
1.05925372517729e+00	(1.09606189168286e+02dB,3.96994422725384e+01°)
1.06169555719872e+00	(1.09571865589575e+02dB,3.96507316206017e+01°)
1.06414301822431e+00	(1.09537524729248e+02dB,3.96021257374609e+01°)
1.06659612123026e+00	(1.09503166630822e+02dB,3.95536248499130e+01°)
1.06905487922266e+00	(1.09468791337901e+02dB,3.95052291837046e+01°)
1.07151930523760e+00	(1.09434398894175e+02dB,3.94569389635409e+01°)
1.07398941234124e+00	(1.09399989343424e+02dB,3.94087544130834e+01°)
1.07646521362983e+00	(1.09365562729510e+02dB,3.93606757549475e+01°)
1.07894672222983e+00	(1.09331119096381e+02dB,3.93127032107078e+01°)
1.08143395129794e+00	(1.09296658488069e+02dB,3.92648370008898e+01°)
1.08392691402120e+00	(1.09262180948688e+02dB,3.92170773449785e+01°)
1.08642562361706e+00	(1.09227686522434e+02dB,3.91694244614147e+01°)
1.08893009333343e+00	(1.09193175253582e+02dB,3.91218785675883e+01°)
1.09144033644875e+00	(1.09158647186489e+02dB,3.90744398798570e+01°)
1.09395636627209e+00	(1.09124102365588e+02dB,3.90271086135224e+01°)
1.09647819614318e+00	(1.09089540835392e+02dB,3.89798849828477e+01°)
1.09900583943252e+00	(1.09054962640488e+02dB,3.89327692010556e+01°)
1.10153930954141e+00	(1.09020367825539e+02dB,3.88857614803195e+01°)
