Freq.	V(out)/V(inj)
1.00000000000000e+00	(1.23705286191584e+02dB,2.44856765140284e+01°)
1.00230523807790e+00	(1.23669377964097e+02dB,2.44186197315139e+01°)
1.00461579027839e+00	(1.23633450983858e+02dB,2.43516138896169e+01°)
1.00693166885180e+00	(1.23597505281519e+02dB,2.42846590844711e+01°)
1.00925288607668e+00	(1.23561540887731e+02dB,2.42177554110711e+01°)
1.01157945425990e+00	(1.23525557833126e+02dB,2.41509029633332e+01°)
1.01391138573668e+00	(1.23489556148316e+02dB,2.40841018341140e+01°)
1.01624869287070e+00	(1.23453535863903e+02dB,2.40173521152200e+01°)
1.01859138805412e+00	(1.23417497010461e+02dB,2.39506538973714e+01°)
1.02093948370768e+00	(1.23381439618551e+02dB,2.38840072702255e+01°)
1.02329299228075e+00	(1.23345363718708e+02dB,2.38174123223634e+01°)
1.02565192625141e+00	(1.23309269341453e+02dB,2.37508691413617e+01°)
1.02801629812647e+00	(1.23273156517275e+02dB,2.36843778137037e+01°)
1.03038612044162e+00	(1.23237025276648e+02dB,2.36179384248203e+01°)
1.03276140576140e+00	(1.23200875650008e+02dB,2.35515510591207e+01°)
1.03514216667934e+00	(1.23164707667783e+02dB,2.34852157999257e+01°)
1.03752841581801e+00	(1.23128521360364e+02dB,2.34189327295880e+01°)
1.03992016582906e+00	(1.23092316758112e+02dB,2.33527019293440e+01°)
1.04231742939330e+00	(1.23056093891361e+02dB,2.32865234794698e+01°)
1.04472021922080e+00	(1.23019852790424e+02dB,2.32203974591476e+01°)
1.04712854805090e+00	(1.22983593485563e+02dB,2.31543239465505e+01°)
1.04954242865232e+00	(1.22947316007031e+02dB,2.30883030188674e+01°)
1.05196187382322e+00	(1.22911020385038e+02dB,2.30223347522095e+01°)
1.05438689639126e+00	(1.22874706649752e+02dB,2.29564192217208e+01°)
1.05681750921366e+00	(1.22838374831321e+02dB,2.28905565014839e+01°)
1.05925372517729e+00	(1.22802024959850e+02dB,2.28247466646327e+01°)
1.06169555719872e+00	(1.22765657065402e+02dB,2.27589897832450e+01°)
1.06414301822431e+00	(1.22729271178018e+02dB,2.26932859284200e+01°)
1.06659612123026e+00	(1.22692867327684e+02dB,2.26276351702569e+01°)
1.06905487922266e+00	(1.22656445544352e+02dB,2.25620375778489e+01°)
1.07151930523760e+00	(1.22620005857937e+02dB,2.24964932193049e+01°)
1.07398941234124e+00	(1.22583548298312e+02dB,2.24310021617645e+01°)
1.07646521362983e+00	(1.22547072895305e+02dB,2.23655644713618e+01°)
1.07894672222983e+00	(1.22510579678701e+02dB,2.23001802132724e+01°)
1.08143395129794e+00	(1.22474068678239e+02dB,2.22348494516636e+01°)
1.08392691402120e+00	(1.22437539923615e+02dB,2.21695722497874e+01°)
1.08642562361706e+00	(1.22400993444482e+02dB,2.21043486698763e+01°)
1.08893009333343e+00	(1.22364429270444e+02dB,2.20391787732028e+01°)
1.09144033644875e+00	(1.22327847431057e+02dB,2.19740626201598e+01°)
1.09395636627209e+00	(1.22291247955823e+02dB,2.19090002700679e+01°)
