Freq.	Ix(x4:e)/Ix(x4:a)
1.00000000000000e+00	(6.62764922623971e+00dB,-1.79980435708156e+02°)
1.00230523807790e+00	(6.62764975474668e+00dB,-1.79980489590390e+02°)
1.00461579027839e+00	(6.62765028083195e+00dB,-1.79980543370308e+02°)
1.00693166885180e+00	(6.62765080450657e+00dB,-1.79980597048189e+02°)
1.00925288607668e+00	(6.62765132578159e+00dB,-1.79980650624308e+02°)
1.01157945425990e+00	(6.62765184466797e+00dB,-1.79980704098943e+02°)
1.01391138573668e+00	(6.62765236117663e+00dB,-1.79980757472368e+02°)
1.01624869287070e+00	(6.62765287531846e+00dB,-1.79980810744861e+02°)
1.01859138805412e+00	(6.62765338710427e+00dB,-1.79980863916696e+02°)
1.02093948370768e+00	(6.62765389654484e+00dB,-1.79980916988146e+02°)
1.02329299228075e+00	(6.62765440365090e+00dB,-1.79980969959487e+02°)
1.02565192625141e+00	(6.62765490843313e+00dB,-1.79981022830992e+02°)
1.02801629812647e+00	(6.62765541090215e+00dB,-1.79981075602934e+02°)
1.03038612044162e+00	(6.62765591106855e+00dB,-1.79981128275585e+02°)
1.03276140576140e+00	(6.62765640894285e+00dB,-1.79981180849217e+02°)
1.03514216667934e+00	(6.62765690453555e+00dB,-1.79981233324102e+02°)
1.03752841581801e+00	(6.62765739785708e+00dB,-1.79981285700512e+02°)
1.03992016582906e+00	(6.62765788891783e+00dB,-1.79981337978717e+02°)
1.04231742939330e+00	(6.62765837772814e+00dB,-1.79981390158987e+02°)
1.04472021922080e+00	(6.62765886429831e+00dB,-1.79981442241591e+02°)
1.04712854805090e+00	(6.62765934863858e+00dB,-1.79981494226800e+02°)
1.04954242865232e+00	(6.62765983075916e+00dB,-1.79981546114881e+02°)
1.05196187382322e+00	(6.62766031067020e+00dB,-1.79981597906104e+02°)
1.05438689639126e+00	(6.62766078838181e+00dB,-1.79981649600736e+02°)
1.05681750921366e+00	(6.62766126390406e+00dB,-1.79981701199044e+02°)
1.05925372517729e+00	(6.62766173724696e+00dB,-1.79981752701296e+02°)
1.06169555719872e+00	(6.62766220842047e+00dB,-1.79981804107757e+02°)
1.06414301822431e+00	(6.62766267743454e+00dB,-1.79981855418694e+02°)
1.06659612123026e+00	(6.62766314429904e+00dB,-1.79981906634373e+02°)
1.06905487922266e+00	(6.62766360902381e+00dB,-1.79981957755058e+02°)
1.07151930523760e+00	(6.62766407161863e+00dB,-1.79982008781014e+02°)
1.07398941234124e+00	(6.62766453209326e+00dB,-1.79982059712505e+02°)
1.07646521362983e+00	(6.62766499045739e+00dB,-1.79982110549795e+02°)
1.07894672222983e+00	(6.62766544672068e+00dB,-1.79982161293147e+02°)
1.08143395129794e+00	(6.62766590089276e+00dB,-1.79982211942824e+02°)
1.08392691402120e+00	(6.62766635298318e+00dB,-1.79982262499088e+02°)
1.08642562361706e+00	(6.62766680300148e+00dB,-1.79982312962201e+02°)
1.08893009333343e+00	(6.62766725095714e+00dB,-1.79982363332425e+02°)
1.09144033644875e+00	(6.62766769685959e+00dB,-1.79982413610021e+02°)
1.09395636627209e+00	(6.62766814071825e+00dB,-1.79982463795248e+02°)
1.09647819614318e+00	(6.62766858254244e+00dB,-1.79982513888368e+02°)
1.09900583943252e+00	(6.62766902234151e+00dB,-1.79982563889639e+02°)
1.10153930954141e+00	(6.62766946012471e+00dB,-1.79982613799321e+02°)
1.10407861990207e+00	(6.62766989590126e+00dB,-1.79982663617673e+02°)
1.10662378397766e+00	(6.62767032968036e+00dB,-1.79982713344953e+02°)
1.10917481526240e+00	(6.62767076147114e+00dB,-1.79982762981419e+02°)
1.11173172728159e+00	(6.62767119128271e+00dB,-1.79982812527328e+02°)
1.11429453359173e+00	(6.62767161912413e+00dB,-1.79982861982938e+02°)
1.11686324778056e+00	(6.62767204500442e+00dB,-1.79982911348504e+02°)
1.11943788346715e+00	(6.62767246893256e+00dB,-1.79982960624283e+02°)
1.12201845430196e+00	(6.62767289091747e+00dB,-1.79983009810530e+02°)
1.12460497396692e+00	(6.62767331096807e+00dB,-1.79983058907502e+02°)
1.12719745617551e+00	(6.62767372909319e+00dB,-1.79983107915451e+02°)
1.12979591467279e+00	(6.62767414530167e+00dB,-1.79983156834634e+02°)
1.13240036323555e+00	(6.62767455960227e+00dB,-1.79983205665304e+02°)
1.13501081567231e+00	(6.62767497200373e+00dB,-1.79983254407714e+02°)
1.13762728582343e+00	(6.62767538251474e+00dB,-1.79983303062117e+02°)
1.14024978756117e+00	(6.62767579114397e+00dB,-1.79983351628766e+02°)
1.14287833478977e+00	(6.62767619790001e+00dB,-1.79983400107913e+02°)
1.14551294144553e+00	(6.62767660279146e+00dB,-1.79983448499810e+02°)
1.14815362149688e+00	(6.62767700582686e+00dB,-1.79983496804709e+02°)
1.15080038894443e+00	(6.62767740701470e+00dB,-1.79983545022860e+02°)
1.15345325782109e+00	(6.62767780636343e+00dB,-1.79983593154513e+02°)
1.15611224219209e+00	(6.62767820388148e+00dB,-1.79983641199920e+02°)
1.15877735615512e+00	(6.62767859957724e+00dB,-1.79983689159328e+02°)
1.16144861384034e+00	(6.62767899345905e+00dB,-1.79983737032989e+02°)
1.16412602941049e+00	(6.62767938553521e+00dB,-1.79983784821150e+02°)
