Freq.	I(ROUT_OPTO)/I(RIN_OPTO)
1.00000000000000e+00	(6.26736365249898e+00dB,-6.94141755959646e-02°)
1.00230523807790e+00	(6.26736326167823e+00dB,-6.92618325399744e-02°)
1.00461579027839e+00	(6.26736287265278e+00dB,-6.91098565074731e-02°)
1.00693166885180e+00	(6.26736248541439e+00dB,-6.89582466940503e-02°)
1.00925288607668e+00	(6.26736209995485e+00dB,-6.88070022972254e-02°)
1.01157945425990e+00	(6.26736171626599e+00dB,-6.86561225164426e-02°)
1.01391138573668e+00	(6.26736133433967e+00dB,-6.85056065530675e-02°)
1.01624869287070e+00	(6.26736095416780e+00dB,-6.83554536103991e-02°)
1.01859138805412e+00	(6.26736057574232e+00dB,-6.82056628936407e-02°)
1.02093948370768e+00	(6.26736019905520e+00dB,-6.80562336099079e-02°)
1.02329299228075e+00	(6.26735982409847e+00dB,-6.79071649682280e-02°)
1.02565192625141e+00	(6.26735945086416e+00dB,-6.77584561795275e-02°)
1.02801629812647e+00	(6.26735907934438e+00dB,-6.76101064566346e-02°)
1.03038612044162e+00	(6.26735870953124e+00dB,-6.74621150142697e-02°)
1.03276140576140e+00	(6.26735834141690e+00dB,-6.73144810690544e-02°)
1.03514216667934e+00	(6.26735797499357e+00dB,-6.71672038394735e-02°)
1.03752841581801e+00	(6.26735761025346e+00dB,-6.70202825459218e-02°)
1.03992016582906e+00	(6.26735724718886e+00dB,-6.68737164106549e-02°)
1.04231742939330e+00	(6.26735688579206e+00dB,-6.67275046578147e-02°)
1.04472021922080e+00	(6.26735652605540e+00dB,-6.65816465134015e-02°)
1.04712854805090e+00	(6.26735616797125e+00dB,-6.64361412052930e-02°)
1.04954242865232e+00	(6.26735581153203e+00dB,-6.62909879632248e-02°)
1.05196187382322e+00	(6.26735545673018e+00dB,-6.61461860187878e-02°)
1.05438689639126e+00	(6.26735510355817e+00dB,-6.60017346054290e-02°)
1.05681750921366e+00	(6.26735475200852e+00dB,-6.58576329584522e-02°)
1.05925372517729e+00	(6.26735440207378e+00dB,-6.57138803149964e-02°)
1.06169555719872e+00	(6.26735405374653e+00dB,-6.55704759140601e-02°)
1.06414301822431e+00	(6.26735370701937e+00dB,-6.54274189964590e-02°)
1.06659612123026e+00	(6.26735336188497e+00dB,-6.52847088048515e-02°)
1.06905487922266e+00	(6.26735301833601e+00dB,-6.51423445837439e-02°)
1.07151930523760e+00	(6.26735267636520e+00dB,-6.50003255794291e-02°)
