Freq.	V(OUT)/V(COMP)
1.00000000000000e+00	(8.34240547485429e+00dB,-3.29382486975572e-01°)
1.00230523807790e+00	(8.34240481294058e+00dB,-3.30141775240928e-01°)
1.00461579027839e+00	(8.34240414797171e+00dB,-3.30902813730158e-01°)
1.00693166885180e+00	(8.34240347993356e+00dB,-3.31665606477140e-01°)
1.00925288607668e+00	(8.34240280881201e+00dB,-3.32430157525044e-01°)
1.01157945425990e+00	(8.34240213459286e+00dB,-3.33196470926357e-01°)
1.01391138573668e+00	(8.34240145726169e+00dB,-3.33964550742894e-01°)
1.01624869287070e+00	(8.34240077680428e+00dB,-3.34734401045841e-01°)
1.01859138805412e+00	(8.34240009320611e+00dB,-3.35506025915750e-01°)
1.02093948370768e+00	(8.34239940645267e+00dB,-3.36279429442581e-01°)
1.02329299228075e+00	(8.34239871652952e+00dB,-3.37054615725720e-01°)
1.02565192625141e+00	(8.34239802342190e+00dB,-3.37831588873987e-01°)
1.02801629812647e+00	(8.34239732711517e+00dB,-3.38610353005676e-01°)
1.03038612044162e+00	(8.34239662759455e+00dB,-3.39390912248566e-01°)
1.03276140576140e+00	(8.34239592484517e+00dB,-3.40173270739943e-01°)
1.03514216667934e+00	(8.34239521885224e+00dB,-3.40957432626632e-01°)
1.03752841581801e+00	(8.34239450960068e+00dB,-3.41743402065002e-01°)
1.03992016582906e+00	(8.34239379707550e+00dB,-3.42531183221005e-01°)
1.04231742939330e+00	(8.34239308126159e+00dB,-3.43320780270185e-01°)
1.04472021922080e+00	(8.34239236214373e+00dB,-3.44112197397708e-01°)
1.04712854805090e+00	(8.34239163970669e+00dB,-3.44905438798380e-01°)
1.04954242865232e+00	(8.34239091393521e+00dB,-3.45700508676675e-01°)
1.05196187382322e+00	(8.34239018481382e+00dB,-3.46497411246747e-01°)
1.05438689639126e+00	(8.34238945232711e+00dB,-3.47296150732462e-01°)
1.05681750921366e+00	(8.34238871645948e+00dB,-3.48096731367414e-01°)
1.05925372517729e+00	(8.34238797719544e+00dB,-3.48899157394956e-01°)
1.06169555719872e+00	(8.34238723451919e+00dB,-3.49703433068207e-01°)
1.06414301822431e+00	(8.34238648841508e+00dB,-3.50509562650092e-01°)
1.06659612123026e+00	(8.34238573886720e+00dB,-3.51317550413351e-01°)
1.06905487922266e+00	(8.34238498585973e+00dB,-3.52127400640573e-01°)
1.07151930523760e+00	(8.34238422937668e+00dB,-3.52939117624206e-01°)
1.07398941234124e+00	(8.34238346940198e+00dB,-3.53752705666591e-01°)
1.07646521362983e+00	(8.34238270591963e+00dB,-3.54568169079982e-01°)
1.07894672222983e+00	(8.34238193891324e+00dB,-3.55385512186555e-01°)
1.08143395129794e+00	(8.34238116836671e+00dB,-3.56204739318459e-01°)
1.08392691402120e+00	(8.34238039426364e+00dB,-3.57025854817813e-01°)
1.08642562361706e+00	(8.34237961658762e+00dB,-3.57848863036740e-01°)
1.08893009333343e+00	(8.34237883532213e+00dB,-3.58673768337389e-01°)
1.09144033644875e+00	(8.34237805045068e+00dB,-3.59500575091961e-01°)
1.09395636627209e+00	(8.34237726195654e+00dB,-3.60329287682722e-01°)
1.09647819614318e+00	(8.34237646982306e+00dB,-3.61159910502040e-01°)
1.09900583943252e+00	(8.34237567403338e+00dB,-3.61992447952396e-01°)
1.10153930954141e+00	(8.34237487457073e+00dB,-3.62826904446419e-01°)
1.10407861990207e+00	(8.34237407141800e+00dB,-3.63663284406893e-01°)
1.10662378397766e+00	(8.34237326455828e+00dB,-3.64501592266798e-01°)
1.10917481526240e+00	(8.34237245397445e+00dB,-3.65341832469326e-01°)
1.11173172728159e+00	(8.34237163964925e+00dB,-3.66184009467898e-01°)
1.11429453359173e+00	(8.34237082156551e+00dB,-3.67028127726200e-01°)
1.11686324778056e+00	(8.34236999970576e+00dB,-3.67874191718193e-01°)
1.11943788346715e+00	(8.34236917405270e+00dB,-3.68722205928155e-01°)
1.12201845430196e+00	(8.34236834458876e+00dB,-3.69572174850683e-01°)
1.12460497396692e+00	(8.34236751129639e+00dB,-3.70424102990733e-01°)
1.12719745617551e+00	(8.34236667415782e+00dB,-3.71277994863634e-01°)
1.12979591467279e+00	(8.34236583315541e+00dB,-3.72133854995123e-01°)
1.13240036323555e+00	(8.34236498827129e+00dB,-3.72991687921355e-01°)
1.13501081567231e+00	(8.34236413948752e+00dB,-3.73851498188938e-01°)
1.13762728582343e+00	(8.34236328678611e+00dB,-3.74713290354950e-01°)
1.14024978756117e+00	(8.34236243014902e+00dB,-3.75577068986971e-01°)
1.14287833478977e+00	(8.34236156955802e+00dB,-3.76442838663095e-01°)
1.14551294144553e+00	(8.34236070499495e+00dB,-3.77310603971970e-01°)
1.14815362149688e+00	(8.34235983644138e+00dB,-3.78180369512806e-01°)
1.15080038894443e+00	(8.34235896387893e+00dB,-3.79052139895411e-01°)
1.15345325782109e+00	(8.34235808728911e+00dB,-3.79925919740211e-01°)
1.15611224219209e+00	(8.34235720665334e+00dB,-3.80801713678274e-01°)
1.15877735615512e+00	(8.34235632195292e+00dB,-3.81679526351337e-01°)
1.16144861384034e+00	(8.34235543316910e+00dB,-3.82559362411825e-01°)
1.16412602941049e+00	(8.34235454028304e+00dB,-3.83441226522884e-01°)
1.16680961706096e+00	(8.34235364327582e+00dB,-3.84325123358399e-01°)
1.16949939101987e+00	(8.34235274212835e+00dB,-3.85211057603017e-01°)
1.17219536554813e+00	(8.34235183682163e+00dB,-3.86099033952183e-01°)
1.17489755493953e+00	(8.34235092733640e+00dB,-3.86989057112153e-01°)
1.17760597352080e+00	(8.34235001365339e+00dB,-3.87881131800022e-01°)
1.18032063565173e+00	(8.34234909575317e+00dB,-3.88775262743751e-01°)
1.18304155572516e+00	(8.34234817361634e+00dB,-3.89671454682192e-01°)
1.18576874816716e+00	(8.34234724722335e+00dB,-3.90569712365114e-01°)
1.18850222743701e+00	(8.34234631655448e+00dB,-3.91470040553220e-01°)
1.19124200802737e+00	(8.34234538159012e+00dB,-3.92372444018188e-01°)
1.19398810446427e+00	(8.34234444231036e+00dB,-3.93276927542677e-01°)
1.19674053130724e+00	(8.34234349869528e+00dB,-3.94183495920365e-01°)
1.19949930314937e+00	(8.34234255072491e+00dB,-3.95092153955975e-01°)
1.20226443461741e+00	(8.34234159837911e+00dB,-3.96002906465292e-01°)
1.20503594037179e+00	(8.34234064163773e+00dB,-3.96915758275195e-01°)
1.20781383510677e+00	(8.34233968048047e+00dB,-3.97830714223680e-01°)
1.21059813355048e+00	(8.34233871488686e+00dB,-3.98747779159884e-01°)
1.21338885046497e+00	(8.34233774483658e+00dB,-3.99666957944120e-01°)
1.21618600064636e+00	(8.34233677030896e+00dB,-4.00588255447887e-01°)
1.21898959892486e+00	(8.34233579128339e+00dB,-4.01511676553909e-01°)
1.22179966016487e+00	(8.34233480773904e+00dB,-4.02437226156152e-01°)
1.22461619926504e+00	(8.34233381965509e+00dB,-4.03364909159857e-01°)
1.22743923115840e+00	(8.34233282701061e+00dB,-4.04294730481564e-01°)
1.23026877081238e+00	(8.34233182978455e+00dB,-4.05226695049133e-01°)
1.23310483322890e+00	(8.34233082795571e+00dB,-4.06160807801773e-01°)
1.23594743344450e+00	(8.34232982150292e+00dB,-4.07097073690076e-01°)
1.23879658653036e+00	(8.34232881040480e+00dB,-4.08035497676027e-01°)
1.24165230759240e+00	(8.34232779463991e+00dB,-4.08976084733045e-01°)
1.24451461177138e+00	(8.34232677418667e+00dB,-4.09918839845998e-01°)
1.24738351424294e+00	(8.34232574902357e+00dB,-4.10863768011246e-01°)
1.25025903021771e+00	(8.34232471912874e+00dB,-4.11810874236641e-01°)
1.25314117494141e+00	(8.34232368448047e+00dB,-4.12760163541582e-01°)
1.25602996369487e+00	(8.34232264505666e+00dB,-4.13711640957017e-01°)
1.25892541179416e+00	(8.34232160083537e+00dB,-4.14665311525488e-01°)
1.26182753459066e+00	(8.34232055179445e+00dB,-4.15621180301148e-01°)
1.26473634747114e+00	(8.34231949791166e+00dB,-4.16579252349793e-01°)
1.26765186585784e+00	(8.34231843916463e+00dB,-4.17539532748879e-01°)
1.27057410520853e+00	(8.34231737553091e+00dB,-4.18502026587562e-01°)
1.27350308101665e+00	(8.34231630698801e+00dB,-4.19466738966718e-01°)
1.27643880881134e+00	(8.34231523351318e+00dB,-4.20433674998965e-01°)
1.27938130415752e+00	(8.34231415508371e+00dB,-4.21402839808701e-01°)
1.28233058265601e+00	(8.34231307167674e+00dB,-4.22374238532124e-01°)
1.28528665994361e+00	(8.34231198326928e+00dB,-4.23347876317259e-01°)
1.28824955169313e+00	(8.34231088983823e+00dB,-4.24323758323988e-01°)
1.29121927361353e+00	(8.34230979136042e+00dB,-4.25301889724076e-01°)
1.29419584144998e+00	(8.34230868781257e+00dB,-4.26282275701198e-01°)
1.29717927098395e+00	(8.34230757917129e+00dB,-4.27264921450970e-01°)
1.30016957803328e+00	(8.34230646541305e+00dB,-4.28249832180967e-01°)
1.30316677845229e+00	(8.34230534651426e+00dB,-4.29237013110763e-01°)
1.30617088813183e+00	(8.34230422245113e+00dB,-4.30226469471945e-01°)
1.30918192299940e+00	(8.34230309319992e+00dB,-4.31218206508157e-01°)
1.31219989901919e+00	(8.34230195873666e+00dB,-4.32212229475112e-01°)
1.31522483219223e+00	(8.34230081903720e+00dB,-4.33208543640624e-01°)
1.31825673855640e+00	(8.34229967407748e+00dB,-4.34207154284648e-01°)
1.32129563418657e+00	(8.34229852383322e+00dB,-4.35208066699291e-01°)
