Freq.	V(OUT)/V(COMP)
1.00000000000000e+00	(2.57558193565420e+01dB,-1.11351579905613e+01°)
1.00230523807790e+00	(2.57550717799595e+01dB,-1.11601835612414e+01°)
1.00461579027839e+00	(2.57543208822787e+01dB,-1.11852624949128e+01°)
1.00693166885180e+00	(2.57535666493175e+01dB,-1.12103948860956e+01°)
1.00925288607668e+00	(2.57528090668487e+01dB,-1.12355808293603e+01°)
1.01157945425990e+00	(2.57520481205857e+01dB,-1.12608204193084e+01°)
1.01391138573668e+00	(2.57512837961841e+01dB,-1.12861137505741e+01°)
1.01624869287070e+00	(2.57505160792466e+01dB,-1.13114609178291e+01°)
1.01859138805412e+00	(2.57497449553176e+01dB,-1.13368620157758e+01°)
1.02093948370768e+00	(2.57489704098878e+01dB,-1.13623171391515e+01°)
1.02329299228075e+00	(2.57481924283899e+01dB,-1.13878263827230e+01°)
1.02565192625141e+00	(2.57474109961994e+01dB,-1.14133898412857e+01°)
1.02801629812647e+00	(2.57466260986356e+01dB,-1.14390076096651e+01°)
1.03038612044162e+00	(2.57458377209644e+01dB,-1.14646797827190e+01°)
1.03276140576140e+00	(2.57450458483859e+01dB,-1.14904064553207e+01°)
1.03514216667934e+00	(2.57442504660535e+01dB,-1.15161877223832e+01°)
1.03752841581801e+00	(2.57434515590566e+01dB,-1.15420236788355e+01°)
1.03992016582906e+00	(2.57426491124283e+01dB,-1.15679144196319e+01°)
1.04231742939330e+00	(2.57418431111440e+01dB,-1.15938600397494e+01°)
1.04472021922080e+00	(2.57410335401217e+01dB,-1.16198606341873e+01°)
1.04712854805090e+00	(2.57402203842209e+01dB,-1.16459162979645e+01°)
1.04954242865232e+00	(2.57394036282436e+01dB,-1.16720271261201e+01°)
1.05196187382322e+00	(2.57385832569322e+01dB,-1.16981932137101e+01°)
1.05438689639126e+00	(2.57377592549706e+01dB,-1.17244146558073e+01°)
1.05681750921366e+00	(2.57369316069855e+01dB,-1.17506915475028e+01°)
1.05925372517729e+00	(2.57361002975427e+01dB,-1.17770239838991e+01°)
1.06169555719872e+00	(2.57352653111479e+01dB,-1.18034120601118e+01°)
1.06414301822431e+00	(2.57344266322524e+01dB,-1.18298558712748e+01°)
1.06659612123026e+00	(2.57335842452436e+01dB,-1.18563555125275e+01°)
1.06905487922266e+00	(2.57327381344489e+01dB,-1.18829110790185e+01°)
1.07151930523760e+00	(2.57318882841390e+01dB,-1.19095226659101e+01°)
1.07398941234124e+00	(2.57310346785241e+01dB,-1.19361903683708e+01°)
1.07646521362983e+00	(2.57301773017530e+01dB,-1.19629142815740e+01°)
1.07894672222983e+00	(2.57293161379112e+01dB,-1.19896945006943e+01°)
1.08143395129794e+00	(2.57284511710307e+01dB,-1.20165311209198e+01°)
1.08392691402120e+00	(2.57275823850763e+01dB,-1.20434242374323e+01°)
1.08642562361706e+00	(2.57267097639574e+01dB,-1.20703739454225e+01°)
1.08893009333343e+00	(2.57258332915177e+01dB,-1.20973803400749e+01°)
1.09144033644875e+00	(2.57249529515428e+01dB,-1.21244435165772e+01°)
1.09395636627209e+00	(2.57240687277549e+01dB,-1.21515635701119e+01°)
1.09647819614318e+00	(2.57231806038155e+01dB,-1.21787405958589e+01°)
1.09900583943252e+00	(2.57222885633254e+01dB,-1.22059746889950e+01°)
1.10153930954141e+00	(2.57213925898225e+01dB,-1.22332659446887e+01°)
1.10407861990207e+00	(2.57204926667830e+01dB,-1.22606144581020e+01°)
1.10662378397766e+00	(2.57195887776199e+01dB,-1.22880203243862e+01°)
1.10917481526240e+00	(2.57186809056847e+01dB,-1.23154836386841e+01°)
1.11173172728159e+00	(2.57177690342671e+01dB,-1.23430044961278e+01°)
1.11429453359173e+00	(2.57168531465926e+01dB,-1.23705829918343e+01°)
1.11686324778056e+00	(2.57159332258239e+01dB,-1.23982192209069e+01°)
1.11943788346715e+00	(2.57150092550631e+01dB,-1.24259132784366e+01°)
1.12201845430196e+00	(2.57140812173462e+01dB,-1.24536652594930e+01°)
1.12460497396692e+00	(2.57131490956464e+01dB,-1.24814752591290e+01°)
1.12719745617551e+00	(2.57122128728724e+01dB,-1.25093433723757e+01°)
1.12979591467279e+00	(2.57112725318739e+01dB,-1.25372696942502e+01°)
1.13240036323555e+00	(2.57103280554309e+01dB,-1.25652543197386e+01°)
1.13501081567231e+00	(2.57093794262623e+01dB,-1.25932973438073e+01°)
1.13762728582343e+00	(2.57084266270204e+01dB,-1.26213988613939e+01°)
1.14024978756117e+00	(2.57074696402984e+01dB,-1.26495589674169e+01°)
1.14287833478977e+00	(2.57065084486179e+01dB,-1.26777777567562e+01°)
1.14551294144553e+00	(2.57055430344415e+01dB,-1.27060553242702e+01°)
1.14815362149688e+00	(2.57045733801634e+01dB,-1.27343917647811e+01°)
1.15080038894443e+00	(2.57035994681149e+01dB,-1.27627871730817e+01°)
1.15345325782109e+00	(2.57026212805596e+01dB,-1.27912416439267e+01°)
1.15611224219209e+00	(2.57016387996984e+01dB,-1.28197552720393e+01°)
1.15877735615512e+00	(2.57006520076652e+01dB,-1.28483281521031e+01°)
1.16144861384034e+00	(2.56996608865273e+01dB,-1.28769603787621e+01°)
1.16412602941049e+00	(2.56986654182888e+01dB,-1.29056520466236e+01°)
1.16680961706096e+00	(2.56976655848836e+01dB,-1.29344032502471e+01°)
1.16949939101987e+00	(2.56966613681834e+01dB,-1.29632140841551e+01°)
1.17219536554813e+00	(2.56956527499927e+01dB,-1.29920846428233e+01°)
1.17489755493953e+00	(2.56946397120467e+01dB,-1.30210150206773e+01°)
1.17760597352080e+00	(2.56936222360173e+01dB,-1.30500053120996e+01°)
1.18032063565173e+00	(2.56926003035060e+01dB,-1.30790556114179e+01°)
1.18304155572516e+00	(2.56915738960501e+01dB,-1.31081660129126e+01°)
1.18576874816716e+00	(2.56905429951188e+01dB,-1.31373366108104e+01°)
1.18850222743701e+00	(2.56895075821131e+01dB,-1.31665674992816e+01°)
1.19124200802737e+00	(2.56884676383691e+01dB,-1.31958587724448e+01°)
1.19398810446427e+00	(2.56874231451518e+01dB,-1.32252105243556e+01°)
1.19674053130724e+00	(2.56863740836578e+01dB,-1.32546228490093e+01°)
1.19949930314937e+00	(2.56853204350213e+01dB,-1.32840958403487e+01°)
1.20226443461741e+00	(2.56842621803023e+01dB,-1.33136295922446e+01°)
1.20503594037179e+00	(2.56831993004949e+01dB,-1.33432241985070e+01°)
1.20781383510677e+00	(2.56821317765253e+01dB,-1.33728797528808e+01°)
1.21059813355048e+00	(2.56810595892485e+01dB,-1.34025963490392e+01°)
1.21338885046497e+00	(2.56799827194537e+01dB,-1.34323740805903e+01°)
1.21618600064636e+00	(2.56789011478601e+01dB,-1.34622130410694e+01°)
1.21898959892486e+00	(2.56778148551160e+01dB,-1.34921133239360e+01°)
1.22179966016487e+00	(2.56767238218031e+01dB,-1.35220750225792e+01°)
1.22461619926504e+00	(2.56756280284299e+01dB,-1.35520982303052e+01°)
1.22743923115840e+00	(2.56745274554394e+01dB,-1.35821830403486e+01°)
1.23026877081238e+00	(2.56734220832031e+01dB,-1.36123295458616e+01°)
1.23310483322890e+00	(2.56723118920209e+01dB,-1.36425378399110e+01°)
1.23594743344450e+00	(2.56711968621252e+01dB,-1.36728080154848e+01°)
1.23879658653036e+00	(2.56700769736770e+01dB,-1.37031401654829e+01°)
1.24165230759240e+00	(2.56689522067656e+01dB,-1.37335343827162e+01°)
1.24451461177138e+00	(2.56678225414124e+01dB,-1.37639907599106e+01°)
1.24738351424294e+00	(2.56666879575683e+01dB,-1.37945093897011e+01°)
1.25025903021771e+00	(2.56655484351062e+01dB,-1.38250903646186e+01°)
1.25314117494141e+00	(2.56644039538395e+01dB,-1.38557337771173e+01°)
1.25602996369487e+00	(2.56632544935008e+01dB,-1.38864397195399e+01°)
1.25892541179416e+00	(2.56621000337551e+01dB,-1.39172082841357e+01°)
1.26182753459066e+00	(2.56609405541988e+01dB,-1.39480395630587e+01°)
1.26473634747114e+00	(2.56597760343496e+01dB,-1.39789336483492e+01°)
1.26765186585784e+00	(2.56586064536586e+01dB,-1.40098906319509e+01°)
1.27057410520853e+00	(2.56574317915042e+01dB,-1.40409106057007e+01°)
1.27350308101665e+00	(2.56562520271932e+01dB,-1.40719936613276e+01°)
1.27643880881134e+00	(2.56550671399568e+01dB,-1.41031398904452e+01°)
1.27938130415752e+00	(2.56538771089576e+01dB,-1.41343493845608e+01°)
1.28233058265601e+00	(2.56526819132862e+01dB,-1.41656222350687e+01°)
1.28528665994361e+00	(2.56514815319558e+01dB,-1.41969585332392e+01°)
1.28824955169313e+00	(2.56502759439081e+01dB,-1.42283583702266e+01°)
1.29121927361353e+00	(2.56490651280172e+01dB,-1.42598218370740e+01°)
1.29419584144998e+00	(2.56478490630785e+01dB,-1.42913490246928e+01°)
1.29717927098395e+00	(2.56466277278154e+01dB,-1.43229400238723e+01°)
1.30016957803328e+00	(2.56454011008802e+01dB,-1.43545949252797e+01°)
1.30316677845229e+00	(2.56441691608473e+01dB,-1.43863138194460e+01°)
1.30617088813183e+00	(2.56429318862206e+01dB,-1.44180967967773e+01°)
1.30918192299940e+00	(2.56416892554316e+01dB,-1.44499439475498e+01°)
1.31219989901919e+00	(2.56404412468333e+01dB,-1.44818553618970e+01°)
1.31522483219223e+00	(2.56391878387072e+01dB,-1.45138311298204e+01°)
1.31825673855640e+00	(2.56379290092613e+01dB,-1.45458713411835e+01°)
1.32129563418657e+00	(2.56366647366297e+01dB,-1.45779760857100e+01°)
1.32434153519466e+00	(2.56353949988666e+01dB,-1.46101454529710e+01°)
1.32739445772973e+00	(2.56341197739599e+01dB,-1.46423795324067e+01°)
1.33045441797808e+00	(2.56328390398151e+01dB,-1.46746784132967e+01°)
1.33352143216332e+00	(2.56315527742692e+01dB,-1.47070421847819e+01°)
1.33659551654643e+00	(2.56302609550785e+01dB,-1.47394709358416e+01°)
