Freq.	V(5)/I(RDC_56)
1.00000000000000e+01	(-2.08181193133279e+01dB,8.92015820536563e-01°)
1.00230523807790e+01	(-2.08181144542284e+01dB,8.94071795894162e-01°)
1.00461579027839e+01	(-2.08181095727091e+01dB,8.96132508453683e-01°)
1.00693166885180e+01	(-2.08181046686612e+01dB,8.98197969118929e-01°)
1.00925288607668e+01	(-2.08180997419822e+01dB,9.00268188819441e-01°)
1.01157945425990e+01	(-2.08180947925692e+01dB,9.02343178509837e-01°)
1.01391138573668e+01	(-2.08180898203160e+01dB,9.04422949169610e-01°)
1.01624869287070e+01	(-2.08180848251177e+01dB,9.06507511803606e-01°)
1.01859138805412e+01	(-2.08180798068683e+01dB,9.08596877441878e-01°)
1.02093948370768e+01	(-2.08180747654623e+01dB,9.10691057139900e-01°)
1.02329299228075e+01	(-2.08180697007918e+01dB,9.12790061978291e-01°)
1.02565192625141e+01	(-2.08180646127510e+01dB,9.14893903063382e-01°)
1.02801629812647e+01	(-2.08180595012301e+01dB,9.17002591526647e-01°)
1.03038612044162e+01	(-2.08180543661193e+01dB,9.19116138525110e-01°)
1.03276140576140e+01	(-2.08180492073148e+01dB,9.21234555242119e-01°)
1.03514216667934e+01	(-2.08180440247041e+01dB,9.23357852885786e-01°)
1.03752841581801e+01	(-2.08180388181767e+01dB,9.25486042690224e-01°)
1.03992016582906e+01	(-2.08180335876226e+01dB,9.27619135915432e-01°)
1.04231742939330e+01	(-2.08180283329326e+01dB,9.29757143847355e-01°)
1.04472021922080e+01	(-2.08180230539961e+01dB,9.31900077797781e-01°)
1.04712854805090e+01	(-2.08180177506980e+01dB,9.34047949103994e-01°)
1.04954242865232e+01	(-2.08180124229291e+01dB,9.36200769129969e-01°)
1.05196187382322e+01	(-2.08180070705731e+01dB,9.38358549265071e-01°)
1.05438689639126e+01	(-2.08180016935191e+01dB,9.40521300925422e-01°)
1.05681750921366e+01	(-2.08179962916516e+01dB,9.42689035552875e-01°)
1.05925372517729e+01	(-2.08179908648570e+01dB,9.44861764615817e-01°)
1.06169555719872e+01	(-2.08179854130213e+01dB,9.47039499608945e-01°)
1.06414301822431e+01	(-2.08179799360283e+01dB,9.49222252053150e-01°)
1.06659612123026e+01	(-2.08179744337602e+01dB,9.51410033495638e-01°)
1.06905487922266e+01	(-2.08179689061026e+01dB,9.53602855510505e-01°)
1.07151930523760e+01	(-2.08179633529377e+01dB,9.55800729698105e-01°)
1.07398941234124e+01	(-2.08179577741461e+01dB,9.58003667685286e-01°)
1.07646521362983e+01	(-2.08179521696137e+01dB,9.60211681126204e-01°)
1.07894672222983e+01	(-2.08179465392175e+01dB,9.62424781700811e-01°)
1.08143395129794e+01	(-2.08179408828407e+01dB,9.64642981116609e-01°)
1.08392691402120e+01	(-2.08179352003618e+01dB,9.66866291107482e-01°)
1.08642562361706e+01	(-2.08179294916619e+01dB,9.69094723434577e-01°)
1.08893009333343e+01	(-2.08179237566221e+01dB,9.71328289886077e-01°)
1.09144033644875e+01	(-2.08179179951150e+01dB,9.73567002276309e-01°)
1.09395636627209e+01	(-2.08179122070204e+01dB,9.75810872447582e-01°)
1.09647819614318e+01	(-2.08179063922185e+01dB,9.78059912269424e-01°)
1.09900583943252e+01	(-2.08179005505852e+01dB,9.80314133638225e-01°)
1.10153930954141e+01	(-2.08178946819953e+01dB,9.82573548477534e-01°)
1.10407861990207e+01	(-2.08178887863269e+01dB,9.84838168738721e-01°)
1.10662378397766e+01	(-2.08178828634503e+01dB,9.87108006399725e-01°)
1.10917481526240e+01	(-2.08178769132453e+01dB,9.89383073467083e-01°)
1.11173172728159e+01	(-2.08178709355840e+01dB,9.91663381974089e-01°)
1.11429453359173e+01	(-2.08178649303377e+01dB,9.93948943981559e-01°)
1.11686324778056e+01	(-2.08178588973823e+01dB,9.96239771578573e-01°)
