Freq.	V(7)/I(RDC_78)
1.00000000000000e+01	(-4.08963762701035e+01dB,1.25708057304589e+00°)
1.00230523807790e+01	(-4.08962905559024e+01dB,1.25991932545709e+00°)
1.00461579027839e+01	(-4.08962044546633e+01dB,1.26276421807497e+00°)
1.00693166885180e+01	(-4.08961179646758e+01dB,1.26561526232333e+00°)
1.00925288607668e+01	(-4.08960310842291e+01dB,1.26847246963514e+00°)
1.01157945425990e+01	(-4.08959438116223e+01dB,1.27133585145397e+00°)
1.01391138573668e+01	(-4.08958561450954e+01dB,1.27420541922378e+00°)
1.01624869287070e+01	(-4.08957680829198e+01dB,1.27708118440208e+00°)
1.01859138805412e+01	(-4.08956796233503e+01dB,1.27996315845279e+00°)
1.02093948370768e+01	(-4.08955907646678e+01dB,1.28285135285246e+00°)
1.02329299228075e+01	(-4.08955015050458e+01dB,1.28574577907048e+00°)
1.02565192625141e+01	(-4.08954118427747e+01dB,1.28864644860201e+00°)
1.02801629812647e+01	(-4.08953217760590e+01dB,1.29155337293803e+00°)
1.03038612044162e+01	(-4.08952313031399e+01dB,1.29446656358330e+00°)
1.03276140576140e+01	(-4.08951404221939e+01dB,1.29738603204126e+00°)
1.03514216667934e+01	(-4.08950491314504e+01dB,1.30031178983136e+00°)
1.03752841581801e+01	(-4.08949574291061e+01dB,1.30324384847628e+00°)
1.03992016582906e+01	(-4.08948653133197e+01dB,1.30618221950094e+00°)
1.04231742939330e+01	(-4.08947727822923e+01dB,1.30912691444444e+00°)
1.04472021922080e+01	(-4.08946798342188e+01dB,1.31207794485278e+00°)
1.04712854805090e+01	(-4.08945864672401e+01dB,1.31503532227144e+00°)
1.04954242865232e+01	(-4.08944926795074e+01dB,1.31799905825498e+00°)
1.05196187382322e+01	(-4.08943984692085e+01dB,1.32096916437094e+00°)
1.05438689639126e+01	(-4.08943038344400e+01dB,1.32394565218035e+00°)
1.05681750921366e+01	(-4.08942087733618e+01dB,1.32692853326107e+00°)
1.05925372517729e+01	(-4.08941132841174e+01dB,1.32991781919556e+00°)
1.06169555719872e+01	(-4.08940173647747e+01dB,1.33291352156174e+00°)
1.06414301822431e+01	(-4.08939210135294e+01dB,1.33591565196395e+00°)
1.06659612123026e+01	(-4.08938242283949e+01dB,1.33892422198534e+00°)
1.06905487922266e+01	(-4.08937270075283e+01dB,1.34193924323777e+00°)
1.07151930523760e+01	(-4.08936293489845e+01dB,1.34496072732392e+00°)
1.07398941234124e+01	(-4.08935312508660e+01dB,1.34798868586019e+00°)
1.07646521362983e+01	(-4.08934327112319e+01dB,1.35102313046259e+00°)
1.07894672222983e+01	(-4.08933337281728e+01dB,1.35406407275818e+00°)
1.08143395129794e+01	(-4.08932342997093e+01dB,1.35711152436919e+00°)
1.08392691402120e+01	(-4.08931344239040e+01dB,1.36016549693032e+00°)
1.08642562361706e+01	(-4.08930340987924e+01dB,1.36322600207783e+00°)
1.08893009333343e+01	(-4.08929333224305e+01dB,1.36629305145691e+00°)
1.09144033644875e+01	(-4.08928320928152e+01dB,1.36936665670901e+00°)
1.09395636627209e+01	(-4.08927304079748e+01dB,1.37244682948596e+00°)
1.09647819614318e+01	(-4.08926282659048e+01dB,1.37553358143972e+00°)
1.09900583943252e+01	(-4.08925256646163e+01dB,1.37862692422987e+00°)
1.10153930954141e+01	(-4.08924226021197e+01dB,1.38172686952099e+00°)
1.10407861990207e+01	(-4.08923190763501e+01dB,1.38483342897056e+00°)
1.10662378397766e+01	(-4.08922150853220e+01dB,1.38794661425351e+00°)
1.10917481526240e+01	(-4.08921106269960e+01dB,1.39106643704082e+00°)
1.11173172728159e+01	(-4.08920056993108e+01dB,1.39419290900447e+00°)
1.11429453359173e+01	(-4.08919003002257e+01dB,1.39732604182414e+00°)
1.11686324778056e+01	(-4.08917944277047e+01dB,1.40046584718452e+00°)
1.11943788346715e+01	(-4.08916880796420e+01dB,1.40361233676316e+00°)
