Freq.	V(9)/I(RDC_9_10)
1.00000000000000e+01	(-3.35523565355976e+01dB,1.56903618467277e+00°)
1.00230523807790e+01	(-3.35523415050078e+01dB,1.57265137210261e+00°)
1.00461579027839e+01	(-3.35523264050913e+01dB,1.57627488082987e+00°)
1.00693166885180e+01	(-3.35523112355197e+01dB,1.57990672994846e+00°)
1.00925288607668e+01	(-3.35522959959860e+01dB,1.58354693859987e+00°)
1.01157945425990e+01	(-3.35522806861681e+01dB,1.58719552596662e+00°)
1.01391138573668e+01	(-3.35522653057354e+01dB,1.59085251127359e+00°)
1.01624869287070e+01	(-3.35522498543673e+01dB,1.59451791379143e+00°)
1.01859138805412e+01	(-3.35522343317259e+01dB,1.59819175283168e+00°)
1.02093948370768e+01	(-3.35522187375036e+01dB,1.60187404775566e+00°)
1.02329299228075e+01	(-3.35522030713455e+01dB,1.60556481796024e+00°)
1.02565192625141e+01	(-3.35521873329365e+01dB,1.60926408289402e+00°)
1.02801629812647e+01	(-3.35521715219394e+01dB,1.61297186204594e+00°)
1.03038612044162e+01	(-3.35521556380222e+01dB,1.61668817495055e+00°)
1.03276140576140e+01	(-3.35521396808446e+01dB,1.62041304118546e+00°)
1.03514216667934e+01	(-3.35521236500740e+01dB,1.62414648037450e+00°)
1.03752841581801e+01	(-3.35521075453667e+01dB,1.62788851218437e+00°)
1.03992016582906e+01	(-3.35520913663871e+01dB,1.63163915632815e+00°)
1.04231742939330e+01	(-3.35520751127863e+01dB,1.63539843256156e+00°)
1.04472021922080e+01	(-3.35520587842230e+01dB,1.63916636068692e+00°)
1.04712854805090e+01	(-3.35520423803566e+01dB,1.64294296055195e+00°)
1.04954242865232e+01	(-3.35520259008291e+01dB,1.64672825204642e+00°)
1.05196187382322e+01	(-3.35520093453036e+01dB,1.65052225510961e+00°)
1.05438689639126e+01	(-3.35519927134186e+01dB,1.65432498972173e+00°)
1.05681750921366e+01	(-3.35519760048342e+01dB,1.65813647591271e+00°)
1.05925372517729e+01	(-3.35519592191879e+01dB,1.66195673375403e+00°)
1.06169555719872e+01	(-3.35519423561320e+01dB,1.66578578336582e+00°)
1.06414301822431e+01	(-3.35519254152986e+01dB,1.66962364491035e+00°)
1.06659612123026e+01	(-3.35519083963433e+01dB,1.67347033860050e+00°)
1.06905487922266e+01	(-3.35518912988974e+01dB,1.67732588469064e+00°)
1.07151930523760e+01	(-3.35518741226018e+01dB,1.68119030348332e+00°)
1.07398941234124e+01	(-3.35518568670866e+01dB,1.68506361532536e+00°)
1.07646521362983e+01	(-3.35518395320055e+01dB,1.68894584061469e+00°)
1.07894672222983e+01	(-3.35518221169623e+01dB,1.69283699978613e+00°)
1.08143395129794e+01	(-3.35518046216165e+01dB,1.69673711333206e+00°)
1.08392691402120e+01	(-3.35517870455870e+01dB,1.70064620178373e+00°)
1.08642562361706e+01	(-3.35517693884908e+01dB,1.70456428571898e+00°)
1.08893009333343e+01	(-3.35517516499754e+01dB,1.70849138576860e+00°)
