Freq.	V(9)/I(RDC_9_10)
1.00000000000000e+01	(-3.35330889008607e+01dB,1.55488520806852e+00°)
1.00230523807790e+01	(-3.35329859263437e+01dB,1.55840295801666e+00°)
1.00461579027839e+01	(-3.35328824856444e+01dB,1.56192836135053e+00°)
1.00693166885180e+01	(-3.35327785767119e+01dB,1.56546143262490e+00°)
1.00925288607668e+01	(-3.35326741974535e+01dB,1.56900218640146e+00°)
1.01157945425990e+01	(-3.35325693457936e+01dB,1.57255063725942e+00°)
1.01391138573668e+01	(-3.35324640196306e+01dB,1.57610679978755e+00°)
1.01624869287070e+01	(-3.35323582168642e+01dB,1.57967068858906e+00°)
1.01859138805412e+01	(-3.35322519353772e+01dB,1.58324231827818e+00°)
1.02093948370768e+01	(-3.35321451730583e+01dB,1.58682170348422e+00°)
1.02329299228075e+01	(-3.35320379277656e+01dB,1.59040885884479e+00°)
1.02565192625141e+01	(-3.35319301973606e+01dB,1.59400379901193e+00°)
1.02801629812647e+01	(-3.35318219797018e+01dB,1.59760653865082e+00°)
1.03038612044162e+01	(-3.35317132726215e+01dB,1.60121709243541e+00°)
1.03276140576140e+01	(-3.35316040739625e+01dB,1.60483547505506e+00°)
1.03514216667934e+01	(-3.35314943815414e+01dB,1.60846170120772e+00°)
1.03752841581801e+01	(-3.35313841931716e+01dB,1.61209578560398e+00°)
1.03992016582906e+01	(-3.35312735066656e+01dB,1.61573774296745e+00°)
1.04231742939330e+01	(-3.35311623198166e+01dB,1.61938758803119e+00°)
1.04472021922080e+01	(-3.35310506304100e+01dB,1.62304533553977e+00°)
1.04712854805090e+01	(-3.35309384362233e+01dB,1.62671100024915e+00°)
1.04954242865232e+01	(-3.35308257350149e+01dB,1.63038459692438e+00°)
1.05196187382322e+01	(-3.35307125245671e+01dB,1.63406614034767e+00°)
1.05438689639126e+01	(-3.35305988026067e+01dB,1.63775564530324e+00°)
1.05681750921366e+01	(-3.35304845668844e+01dB,1.64145312659223e+00°)
1.05925372517729e+01	(-3.35303698151249e+01dB,1.64515859902314e+00°)
