Freq.	V(A)/I(RDC_AB)
1.00000000000000e+01	(-2.94975670301635e+01dB,1.07772360507221e+00°)
1.00230523807790e+01	(-2.94975599377502e+01dB,1.08020742648042e+00°)
1.00461579027839e+01	(-2.94975528125978e+01dB,1.08269696961138e+00°)
1.00693166885180e+01	(-2.94975456545784e+01dB,1.08519224762966e+00°)
1.00925288607668e+01	(-2.94975384635262e+01dB,1.08769327372533e+00°)
1.01157945425990e+01	(-2.94975312392935e+01dB,1.09020006112105e+00°)
1.01391138573668e+01	(-2.94975239817361e+01dB,1.09271262307025e+00°)
1.01624869287070e+01	(-2.94975166906816e+01dB,1.09523097285330e+00°)
1.01859138805412e+01	(-2.94975093659917e+01dB,1.09775512378534e+00°)
1.02093948370768e+01	(-2.94975020075013e+01dB,1.10028508920872e+00°)
1.02329299228075e+01	(-2.94974946150578e+01dB,1.10282088249799e+00°)
1.02565192625141e+01	(-2.94974871885060e+01dB,1.10536251705813e+00°)
1.02801629812647e+01	(-2.94974797276904e+01dB,1.10791000632484e+00°)
1.03038612044162e+01	(-2.94974722324474e+01dB,1.11046336376364e+00°)
1.03276140576140e+01	(-2.94974647026184e+01dB,1.11302260287165e+00°)
1.03514216667934e+01	(-2.94974571380528e+01dB,1.11558773717797e+00°)
1.03752841581801e+01	(-2.94974495385803e+01dB,1.11815878024027e+00°)
1.03992016582906e+01	(-2.94974419040432e+01dB,1.12073574564895e+00°)
1.04231742939330e+01	(-2.94974342342815e+01dB,1.12331864702534e+00°)
1.04472021922080e+01	(-2.94974265291285e+01dB,1.12590749802119e+00°)
1.04712854805090e+01	(-2.94974187884256e+01dB,1.12850231232062e+00°)
1.04954242865232e+01	(-2.94974110120076e+01dB,1.13110310363834e+00°)
1.05196187382322e+01	(-2.94974031997128e+01dB,1.13370988572102e+00°)
1.05438689639126e+01	(-2.94973953513660e+01dB,1.13632267234510e+00°)
1.05681750921366e+01	(-2.94973874668127e+01dB,1.13894147732138e+00°)
1.05925372517729e+01	(-2.94973795458773e+01dB,1.14156631448961e+00°)
1.06169555719872e+01	(-2.94973715883909e+01dB,1.14419719772219e+00°)
