Freq.	V(A)/I(RDC_AB)
1.00000000000000e+01	(-2.94647117269576e+01dB,1.02501562929891e+00°)
1.00230523807790e+01	(-2.94645611868891e+01dB,1.02714674624261e+00°)
1.00461579027839e+01	(-2.94644100239395e+01dB,1.02928128044827e+00°)
1.00693166885180e+01	(-2.94642582358563e+01dB,1.03141923063544e+00°)
1.00925288607668e+01	(-2.94641058203676e+01dB,1.03356059546833e+00°)
1.01157945425990e+01	(-2.94639527752066e+01dB,1.03570537355831e+00°)
1.01391138573668e+01	(-2.94637990980947e+01dB,1.03785356346165e+00°)
1.01624869287070e+01	(-2.94636447867440e+01dB,1.04000516367937e+00°)
1.01859138805412e+01	(-2.94634898388769e+01dB,1.04216017265931e+00°)
1.02093948370768e+01	(-2.94633342521891e+01dB,1.04431858879130e+00°)
1.02329299228075e+01	(-2.94631780243881e+01dB,1.04648041041140e+00°)
1.02565192625141e+01	(-2.94630211531672e+01dB,1.04864563579854e+00°)
1.02801629812647e+01	(-2.94628636362205e+01dB,1.05081426317579e+00°)
1.03038612044162e+01	(-2.94627054712278e+01dB,1.05298629070837e+00°)
1.03276140576140e+01	(-2.94625466558726e+01dB,1.05516171650529e+00°)
1.03514216667934e+01	(-2.94623871878313e+01dB,1.05734053861782e+00°)
1.03752841581801e+01	(-2.94622270647707e+01dB,1.05952275503877e+00°)
1.03992016582906e+01	(-2.94620662843509e+01dB,1.06170836370250e+00°)
1.04231742939330e+01	(-2.94619048442370e+01dB,1.06389736248591e+00°)
1.04472021922080e+01	(-2.94617427420828e+01dB,1.06608974920621e+00°)
1.04712854805090e+01	(-2.94615799755337e+01dB,1.06828552162082e+00°)
1.04954242865232e+01	(-2.94614165422360e+01dB,1.07048467742818e+00°)
1.05196187382322e+01	(-2.94612524398277e+01dB,1.07268721426620e+00°)
1.05438689639126e+01	(-2.94610876659371e+01dB,1.07489312971183e+00°)
1.05681750921366e+01	(-2.94609222181930e+01dB,1.07710242128184e+00°)
1.05925372517729e+01	(-2.94607560942320e+01dB,1.07931508643338e+00°)
1.06169555719872e+01	(-2.94605892916550e+01dB,1.08153112255830e+00°)
1.06414301822431e+01	(-2.94604218080811e+01dB,1.08375052698932e+00°)
1.06659612123026e+01	(-2.94602536411207e+01dB,1.08597329699647e+00°)
1.06905487922266e+01	(-2.94600847883691e+01dB,1.08819942978579e+00°)
1.07151930523760e+01	(-2.94599152474296e+01dB,1.09042892250190e+00°)
1.07398941234124e+01	(-2.94597450158970e+01dB,1.09266177222559e+00°)
1.07646521362983e+01	(-2.94595740913566e+01dB,1.09489797597324e+00°)
1.07894672222983e+01	(-2.94594024713916e+01dB,1.09713753069743e+00°)
1.08143395129794e+01	(-2.94592301535825e+01dB,1.09938043328647e+00°)
1.08392691402120e+01	(-2.94590571354906e+01dB,1.10162668056191e+00°)
1.08642562361706e+01	(-2.94588834147017e+01dB,1.10387626928375e+00°)
1.08893009333343e+01	(-2.94587089887626e+01dB,1.10612919614192e+00°)
1.09144033644875e+01	(-2.94585338552499e+01dB,1.10838545776474e+00°)
1.09395636627209e+01	(-2.94583580117000e+01dB,1.11064505070954e+00°)
1.09647819614318e+01	(-2.94581814556736e+01dB,1.11290797147056e+00°)
1.09900583943252e+01	(-2.94580041847065e+01dB,1.11517421647224e+00°)
1.10153930954141e+01	(-2.94578261963521e+01dB,1.11744378207427e+00°)
1.10407861990207e+01	(-2.94576474881315e+01dB,1.11971666456486e+00°)
1.10662378397766e+01	(-2.94574680575833e+01dB,1.12199286016669e+00°)
1.10917481526240e+01	(-2.94572879022258e+01dB,1.12427236503165e+00°)
1.11173172728159e+01	(-2.94571070195871e+01dB,1.12655517524444e+00°)
1.11429453359173e+01	(-2.94569254071751e+01dB,1.12884128681813e+00°)
1.11686324778056e+01	(-2.94567430625121e+01dB,1.13113069569840e+00°)
1.11943788346715e+01	(-2.94565599831042e+01dB,1.13342339775910e+00°)
1.12201845430196e+01	(-2.94563761664477e+01dB,1.13571938880272e+00°)
1.12460497396692e+01	(-2.94561916100428e+01dB,1.13801866456175e+00°)
1.12719745617551e+01	(-2.94560063113855e+01dB,1.14032122069727e+00°)
1.12979591467279e+01	(-2.94558202679716e+01dB,1.14262705279903e+00°)
1.13240036323555e+01	(-2.94556334772754e+01dB,1.14493615638233e+00°)
1.13501081567231e+01	(-2.94554459367839e+01dB,1.14724852689202e+00°)
1.13762728582343e+01	(-2.94552576439758e+01dB,1.14956415969945e+00°)
1.14024978756117e+01	(-2.94550685963189e+01dB,1.15188305010161e+00°)
1.14287833478977e+01	(-2.94548787912876e+01dB,1.15420519332318e+00°)
1.14551294144553e+01	(-2.94546882263354e+01dB,1.15653058451236e+00°)
1.14815362149688e+01	(-2.94544968989266e+01dB,1.15885921874474e+00°)
1.15080038894443e+01	(-2.94543048065288e+01dB,1.16119109102190e+00°)
1.15345325782109e+01	(-2.94541119465761e+01dB,1.16352619626610e+00°)
1.15611224219209e+01	(-2.94539183165247e+01dB,1.16586452932732e+00°)
1.15877735615512e+01	(-2.94537239138157e+01dB,1.16820608497782e+00°)
1.16144861384034e+01	(-2.94535287358925e+01dB,1.17055085791413e+00°)
1.16412602941049e+01	(-2.94533327801903e+01dB,1.17289884275526e+00°)
1.16680961706096e+01	(-2.94531360441367e+01dB,1.17525003404227e+00°)
1.16949939101987e+01	(-2.94529385251585e+01dB,1.17760442623887e+00°)
1.17219536554813e+01	(-2.94527402206860e+01dB,1.17996201373159e+00°)
1.17489755493953e+01	(-2.94525411281333e+01dB,1.18232279082666e+00°)
1.17760597352080e+01	(-2.94523412449164e+01dB,1.18468675175210e+00°)
1.18032063565173e+01	(-2.94521405684563e+01dB,1.18705389065775e+00°)
1.18304155572516e+01	(-2.94519390961550e+01dB,1.18942420161154e+00°)
1.18576874816716e+01	(-2.94517368254195e+01dB,1.19179767860237e+00°)
1.18850222743701e+01	(-2.94515337536472e+01dB,1.19417431553776e+00°)
1.19124200802737e+01	(-2.94513298782467e+01dB,1.19655410624623e+00°)
