Freq.	V(4,3)/V(A)
1.00000000000000e+01	(-3.12648579825819e+01dB,8.89222132805230e+01°)
1.00230523807790e+01	(-3.12448650750351e+01dB,8.89197293136263e+01°)
1.00461579027839e+01	(-3.12248722002158e+01dB,8.89172396246695e+01°)
1.00693166885180e+01	(-3.12048793582751e+01dB,8.89147442004911e+01°)
1.00925288607668e+01	(-3.11848865493599e+01dB,8.89122430278973e+01°)
1.01157945425990e+01	(-3.11648937736266e+01dB,8.89097360936658e+01°)
1.01391138573668e+01	(-3.11449010312239e+01dB,8.89072233845436e+01°)
1.01624869287070e+01	(-3.11249083223183e+01dB,8.89047048872478e+01°)
1.01859138805412e+01	(-3.11049156470423e+01dB,8.89021805884625e+01°)
1.02093948370768e+01	(-3.10849230055682e+01dB,8.88996504748449e+01°)
1.02329299228075e+01	(-3.10649303980472e+01dB,8.88971145330202e+01°)
1.02565192625141e+01	(-3.10449378246374e+01dB,8.88945727495822e+01°)
1.02801629812647e+01	(-3.10249452854942e+01dB,8.88920251110947e+01°)
1.03038612044162e+01	(-3.10049527807771e+01dB,8.88894716040916e+01°)
1.03276140576140e+01	(-3.09849603106402e+01dB,8.88869122150734e+01°)
1.03514216667934e+01	(-3.09649678752413e+01dB,8.88843469305116e+01°)
1.03752841581801e+01	(-3.09449754747536e+01dB,8.88817757368480e+01°)
1.03992016582906e+01	(-3.09249831093334e+01dB,8.88791986204912e+01°)
1.04231742939330e+01	(-3.09049907791307e+01dB,8.88766155678180e+01°)
1.04472021922080e+01	(-3.08849984843234e+01dB,8.88740265651764e+01°)
1.04712854805090e+01	(-3.08650062250604e+01dB,8.88714315988814e+01°)
1.04954242865232e+01	(-3.08450140015182e+01dB,8.88688306552188e+01°)
1.05196187382322e+01	(-3.08250218138528e+01dB,8.88662237204397e+01°)
1.05438689639126e+01	(-3.08050296622394e+01dB,8.88636107807672e+01°)
1.05681750921366e+01	(-3.07850375468369e+01dB,8.88609918223906e+01°)
1.05925372517729e+01	(-3.07650454678106e+01dB,8.88583668314670e+01°)
1.06169555719872e+01	(-3.07450534253325e+01dB,8.88557357941250e+01°)
1.06414301822431e+01	(-3.07250614195664e+01dB,8.88530986964577e+01°)
1.06659612123026e+01	(-3.07050694506901e+01dB,8.88504555245297e+01°)
1.06905487922266e+01	(-3.06850775188651e+01dB,8.88478062643710e+01°)
1.07151930523760e+01	(-3.06650856242718e+01dB,8.88451509019825e+01°)
1.07398941234124e+01	(-3.06450937670673e+01dB,8.88424894233287e+01°)
1.07646521362983e+01	(-3.06251019474470e+01dB,8.88398218143477e+01°)
1.07894672222983e+01	(-3.06051101655623e+01dB,8.88371480609402e+01°)
1.08143395129794e+01	(-3.05851184215928e+01dB,8.88344681489767e+01°)
1.08392691402120e+01	(-3.05651267157173e+01dB,8.88317820642966e+01°)
1.08642562361706e+01	(-3.05451350481087e+01dB,8.88290897927053e+01°)
1.08893009333343e+01	(-3.05251434189443e+01dB,8.88263913199762e+01°)
1.09144033644875e+01	(-3.05051518284000e+01dB,8.88236866318496e+01°)
1.09395636627209e+01	(-3.04851602766621e+01dB,8.88209757140361e+01°)
1.09647819614318e+01	(-3.04651687638993e+01dB,8.88182585522081e+01°)
1.09900583943252e+01	(-3.04451772902912e+01dB,8.88155351320094e+01°)
1.10153930954141e+01	(-3.04251858560281e+01dB,8.88128054390510e+01°)
1.10407861990207e+01	(-3.04051944612767e+01dB,8.88100694589082e+01°)
1.10662378397766e+01	(-3.03852031062409e+01dB,8.88073271771274e+01°)
1.10917481526240e+01	(-3.03652117910804e+01dB,8.88045785792167e+01°)
1.11173172728159e+01	(-3.03452205160017e+01dB,8.88018236506573e+01°)
1.11429453359173e+01	(-3.03252292811665e+01dB,8.87990623768897e+01°)
1.11686324778056e+01	(-3.03052380867817e+01dB,8.87962947433290e+01°)
1.11943788346715e+01	(-3.02852469330106e+01dB,8.87935207353496e+01°)
1.12201845430196e+01	(-3.02652558200619e+01dB,8.87907403382989e+01°)
1.12460497396692e+01	(-3.02452647481161e+01dB,8.87879535374875e+01°)
1.12719745617551e+01	(-3.02252737173639e+01dB,8.87851603181920e+01°)
1.12979591467279e+01	(-3.02052827279874e+01dB,8.87823606656553e+01°)
1.13240036323555e+01	(-3.01852917801819e+01dB,8.87795545650888e+01°)
1.13501081567231e+01	(-3.01653008741471e+01dB,8.87767420016685e+01°)
1.13762728582343e+01	(-3.01453100100666e+01dB,8.87739229605367e+01°)
1.14024978756117e+01	(-3.01253191881342e+01dB,8.87710974268009e+01°)
1.14287833478977e+01	(-3.01053284085478e+01dB,8.87682653855364e+01°)
1.14551294144553e+01	(-3.00853376715055e+01dB,8.87654268217834e+01°)
1.14815362149688e+01	(-3.00653469771931e+01dB,8.87625817205464e+01°)
1.15080038894443e+01	(-3.00453563258131e+01dB,8.87597300667981e+01°)
1.15345325782109e+01	(-3.00253657175662e+01dB,8.87568718454762e+01°)
1.15611224219209e+01	(-3.00053751526494e+01dB,8.87540070414831e+01°)
1.15877735615512e+01	(-2.99853846312610e+01dB,8.87511356396871e+01°)
1.16144861384034e+01	(-2.99653941536072e+01dB,8.87482576249228e+01°)
1.16412602941049e+01	(-2.99454037198862e+01dB,8.87453729819888e+01°)
1.16680961706096e+01	(-2.99254133302892e+01dB,8.87424816956478e+01°)
1.16949939101987e+01	(-2.99054229850380e+01dB,8.87395837506321e+01°)
1.17219536554813e+01	(-2.98854326843322e+01dB,8.87366791316357e+01°)
1.17489755493953e+01	(-2.98654424283729e+01dB,8.87337678233178e+01°)
1.17760597352080e+01	(-2.98454522173661e+01dB,8.87308498103028e+01°)
1.18032063565173e+01	(-2.98254620515217e+01dB,8.87279250771808e+01°)
1.18304155572516e+01	(-2.98054719310504e+01dB,8.87249936085061e+01°)
1.18576874816716e+01	(-2.97854818561483e+01dB,8.87220553887968e+01°)
1.18850222743701e+01	(-2.97654918270468e+01dB,8.87191104025383e+01°)
1.19124200802737e+01	(-2.97455018439439e+01dB,8.87161586341777e+01°)
1.19398810446427e+01	(-2.97255119070441e+01dB,8.87132000681265e+01°)
1.19674053130724e+01	(-2.97055220165833e+01dB,8.87102346887655e+01°)
1.19949930314937e+01	(-2.96855321727538e+01dB,8.87072624804322e+01°)
1.20226443461741e+01	(-2.96655423757830e+01dB,8.87042834274342e+01°)
1.20503594037179e+01	(-2.96455526258811e+01dB,8.87012975140406e+01°)
1.20781383510677e+01	(-2.96255629232634e+01dB,8.86983047244853e+01°)
1.21059813355048e+01	(-2.96055732681578e+01dB,8.86953050429671e+01°)
1.21338885046497e+01	(-2.95855836607713e+01dB,8.86922984536460e+01°)
1.21618600064636e+01	(-2.95655941013368e+01dB,8.86892849406498e+01°)
1.21898959892486e+01	(-2.95456045900663e+01dB,8.86862644880666e+01°)
1.22179966016487e+01	(-2.95256151271832e+01dB,8.86832370799490e+01°)
1.22461619926504e+01	(-2.95056257129101e+01dB,8.86802027003139e+01°)
1.22743923115840e+01	(-2.94856363474739e+01dB,8.86771613331418e+01°)
1.23026877081238e+01	(-2.94656470310965e+01dB,8.86741129623759e+01°)
1.23310483322890e+01	(-2.94456577640095e+01dB,8.86710575719236e+01°)
1.23594743344450e+01	(-2.94256685464355e+01dB,8.86679951456544e+01°)
1.23879658653036e+01	(-2.94056793786011e+01dB,8.86649256674016e+01°)
1.24165230759240e+01	(-2.93856902607426e+01dB,8.86618491209624e+01°)
1.24451461177138e+01	(-2.93657011930828e+01dB,8.86587654900953e+01°)
1.24738351424294e+01	(-2.93457121758629e+01dB,8.86556747585237e+01°)
1.25025903021771e+01	(-2.93257232093037e+01dB,8.86525769099313e+01°)
1.25314117494141e+01	(-2.93057342936427e+01dB,8.86494719279670e+01°)
1.25602996369487e+01	(-2.92857454291157e+01dB,8.86463597962407e+01°)
1.25892541179416e+01	(-2.92657566159670e+01dB,8.86432404983279e+01°)
1.26182753459066e+01	(-2.92457678544212e+01dB,8.86401140177618e+01°)
1.26473634747114e+01	(-2.92257791447162e+01dB,8.86369803380410e+01°)
1.26765186585784e+01	(-2.92057904870994e+01dB,8.86338394426272e+01°)
1.27057410520853e+01	(-2.91858018818117e+01dB,8.86306913149432e+01°)
1.27350308101665e+01	(-2.91658133290813e+01dB,8.86275359383721e+01°)
1.27643880881134e+01	(-2.91458248291603e+01dB,8.86243732962623e+01°)
1.27938130415752e+01	(-2.91258363822946e+01dB,8.86212033719238e+01°)
1.28233058265601e+01	(-2.91058479887243e+01dB,8.86180261486262e+01°)
1.28528665994361e+01	(-2.90858596486889e+01dB,8.86148416096016e+01°)
1.28824955169313e+01	(-2.90658713624477e+01dB,8.86116497380465e+01°)
1.29121927361353e+01	(-2.90458831302414e+01dB,8.86084505171162e+01°)
1.29419584144998e+01	(-2.90258949523216e+01dB,8.86052439299289e+01°)
1.29717927098395e+01	(-2.90059068289410e+01dB,8.86020299595640e+01°)
1.30016957803328e+01	(-2.89859187603407e+01dB,8.85988085890614e+01°)
