Freq.	V(9,10)/V(A)
1.00000000000000e+01	(-3.51910291096679e+01dB,8.89222132805265e+01°)
1.00230523807790e+01	(-3.51710362021210e+01dB,8.89197293136296e+01°)
1.00461579027839e+01	(-3.51510433273018e+01dB,8.89172396246731e+01°)
1.00693166885180e+01	(-3.51310504853610e+01dB,8.89147442004946e+01°)
1.00925288607668e+01	(-3.51110576764459e+01dB,8.89122430279009e+01°)
1.01157945425990e+01	(-3.50910649007126e+01dB,8.89097360936696e+01°)
1.01391138573668e+01	(-3.50710721583099e+01dB,8.89072233845470e+01°)
1.01624869287070e+01	(-3.50510794494043e+01dB,8.89047048872514e+01°)
1.01859138805412e+01	(-3.50310867741283e+01dB,8.89021805884660e+01°)
1.02093948370768e+01	(-3.50110941326541e+01dB,8.88996504748486e+01°)
1.02329299228075e+01	(-3.49911015251332e+01dB,8.88971145330237e+01°)
1.02565192625141e+01	(-3.49711089517233e+01dB,8.88945727495859e+01°)
1.02801629812647e+01	(-3.49511164125802e+01dB,8.88920251110987e+01°)
1.03038612044162e+01	(-3.49311239078631e+01dB,8.88894716040952e+01°)
1.03276140576140e+01	(-3.49111314377262e+01dB,8.88869122150771e+01°)
1.03514216667934e+01	(-3.48911390023273e+01dB,8.88843469305152e+01°)
1.03752841581801e+01	(-3.48711466018396e+01dB,8.88817757368516e+01°)
1.03992016582906e+01	(-3.48511542364194e+01dB,8.88791986204948e+01°)
1.04231742939330e+01	(-3.48311619062166e+01dB,8.88766155678214e+01°)
1.04472021922080e+01	(-3.48111696114094e+01dB,8.88740265651803e+01°)
1.04712854805090e+01	(-3.47911773521463e+01dB,8.88714315988853e+01°)
1.04954242865232e+01	(-3.47711851286042e+01dB,8.88688306552224e+01°)
1.05196187382322e+01	(-3.47511929409388e+01dB,8.88662237204434e+01°)
1.05438689639126e+01	(-3.47312007893254e+01dB,8.88636107807710e+01°)
1.05681750921366e+01	(-3.47112086739229e+01dB,8.88609918223941e+01°)
1.05925372517729e+01	(-3.46912165948966e+01dB,8.88583668314710e+01°)
1.06169555719872e+01	(-3.46712245524185e+01dB,8.88557357941286e+01°)
1.06414301822431e+01	(-3.46512325466524e+01dB,8.88530986964614e+01°)
1.06659612123026e+01	(-3.46312405777761e+01dB,8.88504555245335e+01°)
1.06905487922266e+01	(-3.46112486459510e+01dB,8.88478062643750e+01°)
1.07151930523760e+01	(-3.45912567513577e+01dB,8.88451509019861e+01°)
1.07398941234124e+01	(-3.45712648941532e+01dB,8.88424894233324e+01°)
1.07646521362983e+01	(-3.45512730745330e+01dB,8.88398218143516e+01°)
1.07894672222983e+01	(-3.45312812926482e+01dB,8.88371480609440e+01°)
1.08143395129794e+01	(-3.45112895486787e+01dB,8.88344681489807e+01°)
1.08392691402120e+01	(-3.44912978428033e+01dB,8.88317820643007e+01°)
1.08642562361706e+01	(-3.44713061751947e+01dB,8.88290897927093e+01°)
