Frequency (Hz),"Trace 1: Gain: Real ","Trace 1: Gain: Imaginary ",Trace 1: Gain: Magnitude (dB),"Trace 2: Gain: Real ","Trace 2: Gain: Imaginary ",Trace 2: Gain: Phase (°)
10,-128.42478265092456,39.325171621264595,42.56221942254608,-128.42478265092456,39.325171621264595,162.97479870310613
10.292005,-137.86903259341796,46.39509476033995,43.25523359216195,-137.86903259341796,46.39509476033995,161.40110530491611
10.592537,-131.8579700769176,47.60469516664763,42.93422915785631,-131.8579700769176,47.60469516664763,160.14889225244465
10.901845,-132.78661622250965,45.21487296346024,42.93951606154951,-132.78661622250965,45.21487296346024,161.19589302446172
11.220185,-131.2113780722265,45.89459239339305,42.86068695514526,-131.2113780722265,45.89459239339305,160.7213876624522
11.54782,-127.50893648655116,44.205414644507655,42.603730836597,-127.50893648655116,44.205414644507655,160.8793443712534
11.885022,-126.76731012760757,51.87257751351869,42.73249390970396,-126.76731012760757,51.87257751351869,157.74585671299414
12.232071,-124.21338704989302,52.60229049534445,42.59975128301193,-124.21338704989302,52.60229049534445,157.04815545524744
12.589254,-126.26897775946253,53.384540792877566,42.74013767578292,-126.26897775946253,53.384540792877566,157.08212193346253
12.956867,-125.07560461556876,55.370694809636866,42.720696259048914,-125.07560461556876,55.370694809636866,156.12113332497654
13.335214,-122.40776083572182,56.136572639901665,42.58516954048772,-122.40776083572182,56.136572639901665,155.36366559080125
13.72461,-117.37151672317957,55.81022351590813,42.27651607675029,-117.37151672317957,55.81022351590813,154.56888551369548
14.125375,-118.97273006762937,53.742126240951,42.31539077917787,-118.97273006762937,53.742126240951,155.69044838677362
14.537844,-118.56939930122601,60.110489425893824,42.47285048906474,-118.56939930122601,60.110489425893824,153.11660469954703
14.962357,-116.24650499135706,58.08388293429277,42.27552178807954,-116.24650499135706,58.08388293429277,153.4504745560994
15.399265,-112.941620304557,60.50596248992877,42.152880072157984,-112.941620304557,60.50596248992877,151.8208095425657
