Freq.	V(p15v_pri)/V(inj)
1.00000000000000e+00	(7.10495283943414e+01dB,1.04655877574654e+02°)
1.00230523807790e+00	(7.10310535615175e+01dB,1.04627927067070e+02°)
1.00461579027839e+00	(7.10125751435275e+01dB,1.04600031294726e+02°)
1.00693166885180e+00	(7.09940931565923e+01dB,1.04572190131584e+02°)
1.00925288607668e+00	(7.09756076168359e+01dB,1.04544403451581e+02°)
1.01157945425990e+00	(7.09571185402857e+01dB,1.04516671128638e+02°)
1.01391138573668e+00	(7.09386259428723e+01dB,1.04488993036655e+02°)
1.01624869287070e+00	(7.09201298404299e+01dB,1.04461369049524e+02°)
1.01859138805412e+00	(7.09016302486964e+01dB,1.04433799041122e+02°)
1.02093948370768e+00	(7.08831271833136e+01dB,1.04406282885323e+02°)
1.02329299228075e+00	(7.08646206598271e+01dB,1.04378820455993e+02°)
1.02565192625141e+00	(7.08461106936869e+01dB,1.04351411626998e+02°)
1.02801629812647e+00	(7.08275973002470e+01dB,1.04324056272206e+02°)
1.03038612044162e+00	(7.08090804947661e+01dB,1.04296754265489e+02°)
1.03276140576140e+00	(7.07905602924075e+01dB,1.04269505480726e+02°)
1.03514216667934e+00	(7.07720367082392e+01dB,1.04242309791809e+02°)
1.03752841581801e+00	(7.07535097572344e+01dB,1.04215167072640e+02°)
1.03992016582906e+00	(7.07349794542710e+01dB,1.04188077197138e+02°)
1.04231742939330e+00	(7.07164458141327e+01dB,1.04161040039243e+02°)
1.04472021922080e+00	(7.06979088515083e+01dB,1.04134055472917e+02°)
1.04712854805090e+00	(7.06793685809924e+01dB,1.04107123372144e+02°)
1.04954242865232e+00	(7.06608250170856e+01dB,1.04080243610939e+02°)
1.05196187382322e+00	(7.06422781741942e+01dB,1.04053416063347e+02°)
1.05438689639126e+00	(7.06237280666308e+01dB,1.04026640603447e+02°)
1.05681750921366e+00	(7.06051747086146e+01dB,1.03999917105353e+02°)
1.05925372517729e+00	(7.05866181142710e+01dB,1.03973245443220e+02°)
1.06169555719872e+00	(7.05680582976325e+01dB,1.03946625491245e+02°)
1.06414301822431e+00	(7.05494952726383e+01dB,1.03920057123671e+02°)
1.06659612123026e+00	(7.05309290531347e+01dB,1.03893540214787e+02°)
1.06905487922266e+00	(7.05123596528756e+01dB,1.03867074638935e+02°)
1.07151930523760e+00	(7.04937870855222e+01dB,1.03840660270509e+02°)
1.07398941234124e+00	(7.04752113646435e+01dB,1.03814296983960e+02°)
1.07646521362983e+00	(7.04566325037164e+01dB,1.03787984653799e+02°)
1.07894672222983e+00	(7.04380505161259e+01dB,1.03761723154599e+02°)
1.08143395129794e+00	(7.04194654151654e+01dB,1.03735512360998e+02°)
1.08392691402120e+00	(7.04008772140367e+01dB,1.03709352147701e+02°)
1.08642562361706e+00	(7.03822859258506e+01dB,1.03683242389483e+02°)
1.08893009333343e+00	(7.03636915636266e+01dB,1.03657182961195e+02°)
1.09144033644875e+00	(7.03450941402934e+01dB,1.03631173737760e+02°)
1.09395636627209e+00	(7.03264936686893e+01dB,1.03605214594185e+02°)
1.09647819614318e+00	(7.03078901615618e+01dB,1.03579305405554e+02°)
1.09900583943252e+00	(7.02892836315686e+01dB,1.03553446047037e+02°)
1.10153930954141e+00	(7.02706740912773e+01dB,1.03527636393891e+02°)
1.10407861990207e+00	(7.02520615531657e+01dB,1.03501876321463e+02°)
1.10662378397766e+00	(7.02334460296221e+01dB,1.03476165705192e+02°)
1.10917481526240e+00	(7.02148275329456e+01dB,1.03450504420613e+02°)
1.11173172728159e+00	(7.01962060753461e+01dB,1.03424892343358e+02°)
1.11429453359173e+00	(7.01775816689448e+01dB,1.03399329349160e+02°)
1.11686324778056e+00	(7.01589543257741e+01dB,1.03373815313855e+02°)
1.11943788346715e+00	(7.01403240577784e+01dB,1.03348350113384e+02°)
1.12201845430196e+00	(7.01216908768135e+01dB,1.03322933623798e+02°)
1.12460497396692e+00	(7.01030547946478e+01dB,1.03297565721259e+02°)
